,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,-3.18,-17.24,278.48,-13.22,-14.04
1,-3.18,-17.24,278.48,-13.22,-14.04
2,7.13,-3.66,321.83,-37.75,-38.62
3,-5.91,-17.48,266.86,-49.12,-49.12
4,-8.09,-19.13,273.83,-34.18,-34.18
5,-11.81,-21.94,377.96,-19.62,-19.62
6,11.25,-1.70,391.22,-2.11,-2.11
