,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,23.96,20.60,977.71,22.24,20.86
1,23.96,20.60,977.71,22.24,20.86
2,37.70,-0.64,39.98,378.48,377.55
3,29.59,28.77,3484.84,28.69,27.85
4,33.50,30.96,2463.03,30.42,29.46
5,37.20,33.90,1348.68,30.49,27.55
6,47.96,31.27,464.12,20.88,18.61
