,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,33.14,-33.09,119.18,-9.40,-11.92
1,33.14,-33.09,119.18,-9.40,-11.92
2,34.60,-24.16,143.14,-5.39,-8.21
3,36.67,-18.77,163.15,8.39,4.95
4,40.93,-2.25,197.48,15.32,13.40
5,43.19,-8.21,187.71,4.83,1.93
6,40.52,-22.29,156.63,-8.18,-10.41
