,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,15.01,6.30,412.80,2.04,1.90
1,15.01,6.30,412.80,2.04,1.90
2,9.95,5.32,502.54,2.81,2.26
3,9.05,5.86,592.90,1.89,1.38
4,5.60,3.59,690.52,0.77,0.63
5,11.69,8.91,637.60,7.33,6.17
6,16.09,14.01,716.53,11.51,10.31
