,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,27.55,-0.73,3965.82,-1.61,-1.98
1,27.55,-0.73,3965.82,-1.61,-1.98
2,21.92,-3.58,4457.94,-7.03,-6.52
3,23.82,4.76,6007.50,3.95,2.79
4,21.02,-1.20,4872.16,-9.45,-9.14
5,27.35,0.72,3870.30,2.18,1.32
6,21.84,-4.69,3322.35,-2.48,-3.13
