,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,7.24,0.98,14918.24,1.32,0.89
1,7.24,0.98,14918.24,1.32,0.89
2,6.91,0.10,13876.89,-1.70,-1.44
3,8.78,1.46,14053.24,0.19,0.11
4,20.00,13.96,17160.68,14.45,12.10
5,9.27,3.14,14754.39,5.18,4.45
6,5.39,-0.65,13869.15,1.19,0.82
