,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,3.83,-5.61,1746.09,-8.25,-9.87
1,3.83,-5.61,1746.09,-8.25,-9.87
2,12.55,3.53,1855.40,2.13,2.23
3,13.20,4.83,2164.04,0.27,0.93
4,24.11,13.26,1764.46,18.54,13.19
5,22.04,11.93,1664.47,13.08,8.54
6,13.88,3.68,1595.99,8.89,7.14
