,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,25.58,5.45,50870.02,7.36,5.66
1,25.58,5.45,50870.02,7.36,5.66
2,27.20,8.11,48924.66,10.15,8.12
3,26.94,8.13,47607.22,11.00,8.50
4,26.00,9.88,43202.99,11.77,9.86
5,26.58,11.86,43035.60,13.74,11.44
6,25.61,10.92,38830.60,12.77,10.75
