,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,19.61,-1.09,402.63,6.04,6.33
1,19.61,-1.09,402.63,6.04,6.33
2,21.81,5.61,457.17,4.13,4.23
3,23.69,0.24,471.59,1.43,1.04
4,17.89,-1.68,502.15,2.15,1.30
5,16.10,-3.98,561.63,-0.21,-0.62
6,13.47,1.01,617.85,-1.71,-3.77
