,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,93.13,-6.08,9.10,-48.52,-48.52
1,93.13,-6.08,9.10,-48.52,-48.52
2,92.54,-10.06,8.39,-12.80,-12.80
3,88.12,-66.75,5.51,-111.79,-111.79
4,88.69,14.53,7.12,10.16,10.16
5,87.53,-11.08,6.40,0.05,0.05
6,82.19,-29.98,5.87,-20.78,-20.78
