,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,31.01,7.60,662.27,6.69,5.45
1,31.01,7.60,662.27,6.69,5.45
2,37.08,8.20,590.85,-9.92,-8.41
3,32.55,8.65,476.11,6.07,5.25
4,32.83,9.97,360.96,8.79,7.41
5,,,,,
6,,,,,
