,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,12.38,-0.10,215.15,-1.54,-1.54
1,12.38,-0.10,215.15,-1.54,-1.54
2,14.18,2.99,252.57,1.21,-5.50
3,4.16,-2.01,229.91,2.42,2.42
4,-0.10,-6.84,180.98,-6.57,-6.76
5,-5.72,-13.09,198.09,-13.75,-13.75
6,9.80,3.08,161.53,1.80,1.80
