,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,19.71,-8.99,430.18,14.72,15.71
1,19.71,-8.99,430.18,14.72,15.71
2,16.95,-5.78,635.82,-3.72,-4.19
3,21.36,-2.59,882.47,-3.68,-3.47
4,20.86,1.54,1531.92,1.88,1.39
5,19.01,1.64,1908.19,2.42,1.58
6,18.16,0.48,1898.25,1.70,1.33
