,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,28.49,24.82,3052.69,24.24,20.48
1,28.49,24.82,3052.69,24.24,20.48
2,30.08,26.22,2760.73,24.53,21.69
3,29.03,24.62,2473.03,24.62,21.47
4,28.05,23.87,2331.53,24.01,21.33
5,26.76,23.18,2434.25,24.12,21.26
6,18.43,14.40,2089.28,15.74,13.71
