,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,18.51,3.72,1048.16,7.10,6.33
1,18.51,3.72,1048.16,7.10,6.33
2,17.31,1.88,773.80,3.76,3.34
3,22.72,7.58,632.43,9.93,-7.31
4,25.24,10.99,812.70,8.74,6.36
5,19.72,5.07,616.86,5.19,4.63
6,21.54,7.87,420.64,8.16,6.26
