,毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),營業收入(百萬元),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
0,5.94,3.66,34095.16,3.82,3.00
1,5.94,3.66,34095.16,3.82,3.00
2,9.14,6.08,18544.89,6.44,5.47
3,20.97,17.49,17402.82,17.20,14.05
4,17.78,12.19,24426.49,13.66,12.15
5,14.49,4.55,11197.97,3.95,2.95
6,14.16,8.46,22461.95,10.04,9.49
