Date,Open,High,Low,Close,Adj Close,Volume,change
2000-01-04,25.6089,26.2572,25.2847,26.0951,18.794569,8878121,0.0
2000-01-05,24.9606,25.6089,24.6364,25.2847,18.210888,8851996,-3.11
2000-01-06,25.122601,25.771,24.7985,25.2847,18.210888,7544105,0.0
2000-01-07,25.2847,25.2847,24.6364,24.7985,17.860712,4788834,-1.92
2000-01-10,25.122601,25.6089,24.6364,25.6089,18.444389,6188396,3.27
2000-01-11,27.2297,27.2297,24.7985,24.7985,17.860712,11762852,-3.16
2000-01-12,25.2847,25.4468,24.7985,25.4468,18.327639,5673358,2.61
2000-01-13,26.9055,26.9055,25.933001,26.5814,19.144817,22561638,4.46
2000-01-14,27.2297,27.878,26.5814,27.7159,19.961922,24266071,4.27
2000-01-17,28.2022,29.4988,27.5539,29.4988,21.246026999999998,18219031,6.43
2000-01-18,29.823,29.823,27.878,28.6884,20.662346,16254046,-2.75
2000-01-19,28.5263,28.5263,26.7435,27.0676,19.494991,11747690,-5.65
2000-01-20,27.2297,27.2297,26.4193,27.2297,19.611742,4982440,0.6
2000-01-21,27.5539,27.878,27.2297,27.3918,19.728495000000002,8717405,0.6
2000-01-24,27.7159,28.5263,27.3918,28.5263,20.545597,12998665,4.14
2000-01-25,28.0401,28.0401,27.5539,27.7159,19.961922,6052406,-2.84
2000-01-26,27.878,28.2022,27.3918,27.5539,19.845242000000002,4396491,-0.58
2000-01-27,27.5539,27.878,26.7435,26.7435,19.261566000000002,4147835,-2.94
2000-01-28,26.5814,27.2297,26.2572,26.7435,19.261566000000002,3503803,0.0
2000-01-31,27.0676,28.8505,27.0676,28.8505,20.7791,17059260,7.88
2000-02-01,30.7955,30.7955,30.3092,30.7955,22.179955,24214521,6.74
2000-02-02,30.7955,30.7955,30.7955,30.7955,22.179955,0,0.0
2000-02-03,30.7955,30.7955,30.7955,30.7955,22.179955,0,0.0
2000-02-04,30.7955,30.7955,30.7955,30.7955,22.179955,0,0.0
2000-02-07,30.7955,30.7955,30.7955,30.7955,22.179955,0,0.0
2000-02-08,30.7955,30.7955,30.7955,30.7955,22.179955,0,0.0
2000-02-09,32.092098,32.9025,29.823,32.9025,23.697483,29494368,6.84
