Date,Open,High,Low,Close,Adj Close,Volume,change
2001-05-22,25.7992,29.555099,25.7992,29.555099,17.3915,2223371,0.0
2001-05-23,27.523198999999998,29.185699,27.523198999999998,28.9394,17.029196,1602970357,-2.08
2001-05-24,27.0306,28.3237,26.969,27.092199,15.942226999999999,683911997,-6.38
2001-05-25,26.0455,27.6464,25.9839,27.276899,16.050911,457990984,0.68
2001-05-28,27.276899,27.769501,26.1686,27.338499,16.08716,482933,0.23
2001-05-29,27.400101,27.461599,26.4149,27.276899,16.050911,691959,-0.23
2001-05-30,27.276899,27.276899,25.491301,25.491301,15.000188,475891144,-6.55
2001-05-31,24.629299,24.875601,23.8904,24.629299,14.492949,784914214,-3.38
2001-06-01,24.629299,25.121901,24.382998999999998,24.752399,14.565385999999998,376842576,0.5
2001-06-04,24.752399,24.752399,24.1367,24.629299,14.492949,745455,-0.5
2001-06-05,24.629299,25.614401,24.3214,25.614401,15.072626999999999,995562871,4.0
2001-06-06,30.455,30.617901,28.907801,29.722099,17.751793,340167,16.04
2001-06-07,28.9893,29.640698999999998,28.337799,28.337799,16.925005,232407,-4.66
2001-06-08,29.315001000000002,29.315001000000002,27.767799,28.5007,17.022299,407709045,0.57
2001-06-11,28.5007,28.5007,27.767799,28.337799,16.925005,341395043,-0.57
2001-06-12,28.5821,28.5821,27.849199,28.0935,16.779099,284950,-0.86
2001-06-13,28.256399,28.4193,27.849199,28.337799,16.925005,195258448,0.87
2001-06-14,28.5007,28.5007,27.1978,27.605,16.487335,208765932,-2.59
2001-06-15,27.686398999999998,27.686398999999998,27.034901,27.5235,16.438658,130172298,-0.3
2001-06-18,27.686398999999998,27.686398999999998,27.1164,27.5235,16.438658,115436,0.0
2001-06-19,27.605,27.605,26.464899,27.034901,16.146839,84734003,-1.78
2001-06-20,26.5464,26.6278,25.162001,25.162001,15.028234,386833,-6.93
2001-06-21,23.452,24.510599,23.452,23.5334,14.055535,387139193,-6.47
2001-06-22,23.5334,23.5334,21.9048,21.9862,13.131456,345078600,-6.57
2001-06-26,21.334801000000002,21.5791,20.5205,20.6833,12.353287,363500,-5.93
2001-06-27,20.6833,21.1719,20.357599,20.846201,12.450582,175609485,0.79
2001-06-28,20.846201,20.846201,20.0319,20.6019,12.30467,162100893,-1.17
2001-06-29,20.764799,21.1719,20.764799,21.1719,12.645106,184205560,2.77
2001-07-02,21.1719,21.253401,19.9505,21.0091,12.547873,135083708,-0.77
2001-07-03,21.0091,21.0091,20.194799,20.764799,12.401963,51578,-1.16
2001-07-04,20.764799,20.764799,19.6248,19.6248,11.721088,127716,-5.49
2001-07-05,19.6248,19.9505,18.973301,19.7876,11.818321000000001,105612,0.83
2001-07-06,19.543301,19.7876,18.5662,18.5662,11.088828999999999,225959189,-6.17
2001-07-09,18.403299,18.729,17.589001,18.403299,10.991538,348764,-0.88
2001-07-10,17.996201,19.2176,17.7519,18.484699,11.040154,120470270,0.44
2001-07-11,18.321899,18.321899,17.589001,18.159,10.845628,127716,-1.76
2001-07-12,17.507601,18.0776,17.507601,18.0776,10.797009,144909,-0.45
2001-07-13,18.159,19.299,17.9147,18.484699,11.040154,251748,2.25
2001-07-16,18.5662,19.7062,18.403299,19.054701,11.38059,209994892,3.08
2001-07-17,19.136101,19.136101,17.996201,18.2404,10.894243,171924820,-4.27
2001-07-18,18.321899,18.5662,17.507601,17.670401000000002,10.553805,94559039,-3.12
2001-07-19,16.6933,17.9147,16.6933,17.9147,10.699717999999999,124032,1.38
2001-07-20,17.7519,18.2404,17.7519,18.2404,10.894243,65086149,1.82
2001-07-23,17.2633,18.0776,17.2633,17.9147,10.699717999999999,71226,-1.79
2001-07-24,17.8333,17.9147,16.9375,17.670401000000002,10.553805,126487633,-1.36
2001-07-25,17.018998999999997,18.8104,17.018998999999997,18.5662,11.088828999999999,143679783,5.07
2001-07-26,18.5662,19.543301,18.5662,19.543301,11.672413,207538079,5.26
2001-07-27,19.543301,20.4391,19.543301,20.0319,11.964233,210042544,2.5
2001-07-31,19.7876,21.1719,19.136101,20.764799,12.401963,244379191,3.66
2001-08-01,20.1133,20.846201,20.1133,20.194799,12.061525,142816,-2.75
2001-08-02,20.194799,20.194799,19.2176,20.194799,12.061525,124039,0.0
2001-08-03,20.194799,20.357599,19.7062,20.276199,12.110142,106838671,0.4
2001-08-06,20.357599,20.5205,19.7062,20.1133,12.012848,85961856,-0.8
2001-08-07,19.9505,20.194799,19.543301,20.0319,11.964233,42980374,-0.4
2001-08-08,20.0319,20.194799,19.6248,19.6248,11.721088,61401484,-2.03
2001-08-09,19.543301,19.9505,19.543301,19.6248,11.721088,40525,0.0
2001-08-10,19.7062,19.7062,19.136101,19.543301,11.672413,30700742,-0.42
2001-08-13,18.973301,19.543301,18.403299,18.484699,11.040154,158417,-5.42
2001-08-14,17.7519,17.7519,17.4261,17.507601,10.456572999999999,168916138,-5.29
2001-08-15,17.507601,17.7519,17.100401,17.7519,10.602482,137019681,1.4
2001-08-16,17.507601,18.0776,17.507601,17.9147,10.699717999999999,120471,0.92
2001-08-17,18.159,18.729,17.3447,18.403299,10.991538,232188,2.73
2001-08-20,18.159,18.403299,17.9147,18.159,10.845628,86147,-1.33
2001-08-21,17.996201,18.159,17.8333,18.159,10.845628,67725810,0.0
2001-08-22,17.8333,18.159,17.670401000000002,18.159,10.845628,140549202,0.0
2001-08-23,18.159,18.159,17.7519,17.9147,10.699717999999999,177575,-1.35
2001-08-24,17.670401000000002,17.7519,17.507601,17.670401000000002,10.553805,106470758,-1.36
2001-08-27,17.7519,17.7519,17.3447,17.7519,10.602482,182448,0.46
2001-08-28,17.507601,17.670401000000002,17.181801,17.3447,10.359277,48650880,-2.29
2001-08-29,17.100401,17.2633,16.6933,16.7747,10.018839999999999,100837930,-3.29
2001-08-30,16.6933,16.8561,16.3675,16.8561,10.067456,69997559,0.49
2001-08-31,16.7747,17.7519,16.3675,17.7519,10.602482,390530,5.31
2001-09-03,17.100401,17.589001,16.6933,17.018998999999997,10.164750999999999,93946221,-4.13
2001-09-04,17.181801,17.507601,16.8561,17.507601,10.456572999999999,89685307,2.87
2001-09-05,17.4261,17.589001,16.9375,17.4261,10.407894,43115571,-0.47
2001-09-06,17.4261,17.4261,16.3675,16.530399,9.872928,125273079,-5.14
2001-09-07,16.2861,16.611798999999998,15.9604,16.2861,9.72702,314356803,-1.48
2001-09-10,16.123199,16.123199,15.2275,15.6347,9.337964,179982324,-4.0
2001-09-11,15.7975,15.7975,14.7389,15.0647,8.997527,80865382,-3.65
2001-09-13,14.0875,14.1689,14.0875,14.1689,8.462502,471581,-5.95
2001-09-14,13.5175,14.0875,13.1917,14.0875,8.413886,311134,-0.57
2001-09-20,13.6803,13.6803,13.2732,13.3546,7.976156,117931,-5.2
2001-09-21,13.0289,13.1103,12.9474,13.0289,7.7816279999999995,120349,-2.44
2001-09-25,12.7846,12.9474,12.2146,12.4589,7.44119,86664,-4.37
2001-09-26,12.6217,12.6217,11.8074,12.6217,7.538425999999999,142533,1.31
2001-09-27,12.4589,12.4589,12.2146,12.2146,7.29528,30703,-3.23
2001-10-02,12.4589,12.4589,12.1332,12.2146,7.29528,62650,0.0
2001-10-03,12.2146,12.2146,11.8889,11.8889,7.100752000000001,52597,-2.67
2001-10-04,11.9703,12.2146,11.8889,11.8889,7.100752000000001,213691,0.0
2001-10-05,11.9703,12.5403,11.9703,11.9703,7.149369,22105,0.68
2001-10-08,11.156,11.4003,11.156,11.3188,6.760256,57718,-5.44
2001-10-09,11.3188,11.4003,11.156,11.4003,6.808932,29473,0.72
2001-10-11,11.4817,12.1332,11.4817,12.1332,7.246663000000001,104507,6.43
2001-10-12,12.2146,12.2146,11.726,11.8074,7.052076,39113,-2.69
2001-10-15,12.0517,12.0517,11.5631,11.6446,6.954842,31929,-1.38
2001-10-16,11.6446,11.726,11.5631,11.6446,6.954842,35613,0.0
2001-10-17,11.5631,11.726,11.4003,11.6853,6.979151,92410,0.35
2001-10-18,11.6446,11.6446,11.5631,11.6039,6.930534,33206,-0.7
2001-10-19,11.6446,11.8074,11.6446,11.726,7.003458999999999,30701,1.05
2001-10-22,11.8889,12.4589,11.8889,12.3774,7.392513,116664,5.56
2001-10-23,12.7846,12.7846,12.3774,12.3774,7.392513,63722,0.0
2001-10-24,12.7032,13.1103,12.4589,13.0289,7.7816279999999995,197715,5.26
2001-10-25,12.866,12.866,12.7032,12.7846,7.635717,49122,-1.88
2001-10-26,12.6217,12.866,12.6217,12.866,7.684334,77367,0.64
2001-10-29,12.866,13.0289,12.7032,13.0289,7.7816279999999995,103014,1.27
2001-10-30,13.0289,13.0289,12.7032,13.0289,7.7816279999999995,92117,0.0
2001-10-31,13.0289,13.1103,12.866,13.1103,7.830245,160904,0.62
2001-11-01,13.1103,13.5175,12.9474,13.1917,7.878861,124033,0.62
2001-11-02,13.1917,13.3546,13.1917,13.3546,7.976156,85594,1.23
