Date,Open,High,Low,Close,Adj Close,Volume,change
2000-01-04,10.656,10.8353,10.1181,10.3999,10.3999,-2147483648,0.0
2000-01-05,10.1181,10.4255,10.1181,10.3742,10.3742,-2147483648,-0.25
2000-01-06,10.3742,10.6816,10.323,10.5023,10.5023,-2147483648,1.23
2000-01-07,10.5023,10.5535,10.3742,10.3742,10.3742,-2147483648,-1.22
2000-01-10,10.4255,10.8097,10.4255,10.7585,10.7585,-2147483648,3.7
2000-01-11,11.0146,11.0659,10.2462,10.2462,10.2462,4726677,-4.76
2000-01-12,10.2462,10.5792,10.2462,10.4511,10.4511,3089444,2.0
2000-01-13,10.5792,10.656,10.2462,10.2718,10.2718,-2147483648,-1.72
2000-01-14,10.5535,10.6304,10.3999,10.5023,10.5023,3622045,2.24
2000-01-17,10.9634,11.2708,10.9122,10.989,10.989,7831221,4.63
2000-01-18,11.0146,11.0402,10.6304,10.7329,10.7329,3068660,-2.33
2000-01-19,10.7585,10.8865,10.5792,10.5792,10.5792,-2147483648,-1.43
2000-01-20,10.5535,10.7072,10.3999,10.5792,10.5792,2300958,0.0
2000-01-21,10.7072,10.989,10.6048,10.8609,10.8609,3027372,2.66
2000-01-24,11.0659,11.322,10.9634,11.2708,11.2708,-2147483648,3.77
2000-01-25,11.2708,12.0393,11.2708,12.0393,12.0393,-2147483648,6.82
2000-01-26,12.5003,12.7565,11.8087,12.3466,12.3466,-2147483648,2.55
2000-01-27,12.2698,12.3722,11.5269,11.5269,11.5269,8816940,-6.64
2000-01-28,11.5269,11.8599,11.3476,11.4757,11.4757,6832217,-0.44
2000-01-31,11.5782,11.8343,11.5269,11.655,11.655,-2147483648,1.56
2000-02-01,12.0393,12.4491,11.9112,12.4491,12.4491,-2147483648,6.81
2000-02-02,12.4491,12.4491,12.4491,12.4491,12.4491,0,0.0
2000-02-03,12.4491,12.4491,12.4491,12.4491,12.4491,0,0.0
2000-02-04,12.4491,12.4491,12.4491,12.4491,12.4491,0,0.0
2000-02-07,12.4491,12.4491,12.4491,12.4491,12.4491,0,0.0
2000-02-08,12.4491,12.4491,12.4491,12.4491,12.4491,0,0.0
2000-02-09,12.7821,12.8077,12.2954,12.4235,12.4235,-2147483648,-0.21
2000-02-10,12.4235,13.1919,12.4235,13.1919,13.1919,-2147483648,6.19
2000-02-11,14.0885,14.0885,14.0885,14.0885,14.0885,-2147483648,6.8
2000-02-14,14.985,14.985,14.3446,14.7289,14.7289,24899450,4.55
2000-02-15,14.6008,14.6008,13.7043,14.2166,14.2166,14768812,-3.48
2000-02-16,14.3446,14.8569,14.3446,14.8569,14.8569,-2147483648,4.5
2000-02-17,14.985,15.3693,14.0885,14.6008,14.6008,-2147483648,-1.72
2000-02-18,14.3446,14.7289,13.8323,13.8323,13.8323,-2147483648,-5.26
2000-02-21,14.0885,14.2166,13.0638,13.0638,13.0638,-2147483648,-5.56
2000-02-22,12.7821,12.9358,12.1929,12.5259,12.5259,3404637,-4.12
2000-02-23,12.5259,13.1919,12.5259,12.8077,12.8077,-2147483648,2.25
2000-02-24,13.0638,13.32,12.5515,12.6284,12.6284,-2147483648,-1.4
2000-02-25,12.6028,12.8077,11.9112,11.9368,11.9368,-2147483648,-5.48
2000-02-28,11.9368,11.9368,11.9368,11.9368,11.9368,0,0.0
2000-02-29,12.0393,12.2442,11.2964,12.1673,12.1673,-2147483648,1.93
2000-03-01,12.9358,12.9358,12.7821,12.9358,12.9358,3719713,6.32
2000-03-02,13.1919,13.7043,12.9358,13.5762,13.5762,9140300,4.95
2000-03-03,13.32,13.8323,13.1919,13.8323,13.8323,-2147483648,1.89
2000-03-06,13.5762,14.0885,13.1919,14.0885,14.0885,-2147483648,1.85
2000-03-07,14.0885,14.4727,13.1919,13.32,13.32,-2147483648,-5.45
2000-03-08,13.0638,13.32,12.8077,12.9358,12.9358,-2147483648,-2.88
2000-03-09,12.8077,13.32,12.8077,13.0638,13.0638,-2147483648,0.99
2000-03-10,13.0638,13.4481,12.1673,12.1673,12.1673,-2147483648,-6.86
2000-03-13,11.9112,12.0393,11.322,11.322,11.322,-2147483648,-6.95
2000-03-14,10.7585,11.0915,10.5792,10.7841,10.7841,-2147483648,-4.75
2000-03-15,10.6304,11.4757,10.6048,10.6304,10.6304,2334914,-1.43
2000-03-16,10.656,10.7585,9.99001,10.5792,10.5792,-2147483648,-0.48
2000-03-17,10.5023,10.8353,10.3742,10.5792,10.5792,-2147483648,0.0
2000-03-20,10.2205,10.2205,10.2205,10.2205,10.2205,380045,-3.39
2000-03-21,9.88755,10.9122,9.88755,10.9122,10.9122,3946846,6.77
2000-03-22,10.9122,11.5782,10.8097,11.5782,11.5782,-2147483648,6.1
2000-03-23,11.2708,12.1673,11.2708,12.0393,12.0393,-2147483648,3.98
2000-03-24,11.9112,11.9112,11.6294,11.6294,11.6294,3470800,-3.4
2000-03-27,11.5269,12.0905,11.3989,11.8343,11.8343,5553800,1.76
2000-03-28,11.8343,12.0905,11.5013,11.5782,11.5782,-2147483648,-2.16
2000-03-29,11.5526,11.8855,11.4245,11.7575,11.7575,3612278,1.55
2000-03-30,11.9624,12.5772,11.7831,12.1929,12.1929,-2147483648,3.7
2000-03-31,12.1929,12.2442,11.7831,11.9624,11.9624,-2147483648,-1.89
2000-04-03,11.9624,11.9624,11.9624,11.9624,11.9624,0,0.0
2000-04-04,11.9624,11.9624,11.9624,11.9624,11.9624,0,0.0
2000-04-05,12.3722,12.9358,12.1929,12.5772,12.5772,5379573,5.14
2000-04-06,12.6796,12.7821,12.4235,12.4235,12.4235,-2147483648,-1.22
2000-04-07,12.4491,12.5772,12.1929,12.2954,12.2954,-2147483648,-1.03
2000-04-10,13.4481,13.9604,13.1919,13.9604,13.9604,-2147483648,13.54
2000-04-11,14.8569,14.8569,14.3446,14.6008,14.6008,-2147483648,4.59
2000-04-12,14.4727,14.6008,13.7043,13.7043,13.7043,-2147483648,-6.14
2000-04-13,12.7565,12.8077,12.7565,12.7565,12.7565,-2147483648,-6.92
2000-04-14,11.9624,12.8077,11.9368,12.1673,12.1673,-2147483648,-4.62
2000-04-17,11.5269,11.7831,11.3732,11.7319,11.7319,-2147483648,-3.58
2000-04-18,12.3979,12.4235,12.0649,12.4235,12.4235,-2147483648,5.9
2000-04-19,12.5515,12.6796,11.7319,12.0393,12.0393,-2147483648,-3.09
2000-04-20,12.0905,12.1929,11.5526,12.0393,12.0393,-2147483648,0.0
2000-04-21,11.9624,12.1417,11.8087,11.988,11.988,-2147483648,-0.43
2000-04-24,11.7831,11.9112,11.5269,11.5269,11.5269,1998794526,-3.85
2000-04-25,11.0146,11.3476,10.9122,11.2964,11.2964,3098665,-2.0
2000-04-26,11.3476,11.5013,10.5279,10.5279,10.5279,-2147483648,-6.8
2000-04-27,11.0146,11.0146,10.2462,10.3742,10.3742,-2147483648,-1.46
2000-04-28,10.3742,11.0915,10.2974,11.0915,11.0915,-2147483648,6.91
2000-05-01,11.0915,11.0915,11.0915,11.0915,11.0915,0,0.0
2000-05-02,10.8353,10.9378,10.6048,10.7585,10.7585,1424921321,-3.0
2000-05-03,10.5023,10.5535,10.2462,10.2974,10.2974,1933829832,-4.29
2000-05-04,10.2974,10.6304,10.2974,10.3742,10.3742,-2147483648,0.75
2000-05-05,10.6048,10.8353,10.3742,10.8097,10.8097,1656427735,4.2
2000-05-08,10.9122,10.9122,10.6304,10.656,10.656,1432729006,-1.42
2000-05-09,10.656,10.656,10.656,10.656,10.656,0,0.0
2000-05-10,10.5279,10.7585,10.5023,10.6304,10.6304,968165480,-0.24
2000-05-11,10.2462,10.3742,10.0669,10.3742,10.3742,1284537222,-2.41
2000-05-12,10.3742,10.5279,10.3742,10.5023,10.5023,1288284745,1.23
2000-05-15,10.6304,10.6304,10.2718,10.4511,10.4511,748530,-0.49
2000-05-16,10.4255,10.5535,10.2718,10.5023,10.5023,968628,0.49
2000-05-17,10.656,11.1427,10.656,11.0915,11.0915,-2147483648,5.61
2000-05-18,10.8865,10.9634,10.6816,10.7072,10.7072,1480749,-3.46
2000-05-19,11.0659,11.3476,10.7841,11.0659,11.0659,3595491,3.35
2000-05-22,10.9378,10.989,10.7072,10.8609,10.8609,1421017478,-1.85
2000-05-23,10.7072,10.7329,10.5279,10.5279,10.5279,910584,-3.07
2000-05-24,10.2462,10.4767,10.2462,10.2974,10.2974,1292188587,-2.19
2000-05-25,10.3742,10.4767,10.2974,10.2974,10.2974,1073571315,0.0
2000-05-26,10.2974,10.6304,10.2462,10.6048,10.6048,1955852257,2.99
2000-05-29,10.5023,10.6304,10.4255,10.4511,10.4511,901879,-1.45
2000-05-30,10.4511,10.4511,10.4511,10.4511,10.4511,0,0.0
2000-05-31,10.9378,11.0146,10.7841,11.0146,11.0146,-2147483648,5.39
2000-06-01,11.0146,11.0146,10.6816,10.8865,10.8865,1230513,-1.16
2000-06-02,11.0659,11.1427,10.8609,10.9378,10.9378,2123719575,0.47
2000-06-05,10.9122,10.9122,10.7072,10.7585,10.7585,1319517570,-1.64
2000-06-06,10.7585,10.7585,10.7585,10.7585,10.7585,0,0.0
2000-06-07,10.9122,11.1683,10.8865,11.0659,11.0659,2913285,2.86
2000-06-08,11.2196,11.2708,11.0146,11.0146,11.0146,-2147483648,-0.46
2000-06-09,11.2708,11.7831,11.1683,11.7831,11.7831,-2147483648,6.98
2000-06-12,11.988,12.1417,11.8087,12.0393,12.0393,-2147483648,2.17
2000-06-13,11.8855,11.9624,11.5269,11.5269,11.5269,4862095,-4.26
2000-06-14,11.655,11.9112,11.5782,11.655,11.655,-2147483648,1.11
2000-06-15,11.6294,11.8855,11.3989,11.5526,11.5526,3989999,-0.88
2000-06-16,11.6038,11.655,11.3476,11.5269,11.5269,2491011,-0.22
2000-06-19,11.5526,11.655,11.0402,11.2452,11.2452,1963661,-2.44
2000-06-20,11.4757,11.4757,11.0915,11.0915,11.0915,2097963,-1.37
2000-06-21,11.1939,11.2452,10.9634,10.9634,10.9634,1506905,-1.15
2000-06-22,10.7585,11.1427,10.7585,10.989,10.989,1612314105,0.23
2000-06-23,11.0659,11.3989,11.0659,11.1171,11.1171,-2147483648,1.17
2000-06-26,11.1683,11.1683,10.7585,10.7841,10.7841,1844981459,-3.0
2000-06-27,10.8865,10.9378,10.5023,10.5023,10.5023,1225983751,-2.61
2000-06-28,10.5023,10.5023,10.2462,10.5023,10.5023,1866844,0.0
2000-06-29,10.6048,10.6048,10.2462,10.2462,10.2462,913512,-2.44
2000-06-30,10.2462,10.4511,10.2462,10.3742,10.3742,769152876,1.25
2000-07-03,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-04,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-05,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-06,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-07,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-10,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-11,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-12,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-13,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-14,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-17,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-18,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-19,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-20,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-21,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-24,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-25,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-26,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-27,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-28,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-07-31,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-01,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-02,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-03,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-04,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-07,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-08,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-09,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-10,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-11,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-14,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-15,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-16,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-17,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-18,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
2000-08-21,10.3742,10.3742,10.3742,10.3742,10.3742,0,0.0
