Date,Open,High,Low,Close,Adj Close,Volume,change
2000-01-04,9.792119999999999,9.88672,9.508289999999999,9.508289999999999,9.508289999999999,15516363,0.0
2000-01-05,9.460980000000001,10.1706,9.460980000000001,10.1706,10.1706,18953859,6.97
2000-01-06,10.8801,10.8801,10.4071,10.8801,10.8801,-2147483648,6.98
2000-01-07,10.9747,11.3532,10.6436,11.022,11.022,35276240,1.3
2000-01-10,11.3532,11.4478,11.022,11.2113,11.2113,28898549,1.72
2000-01-11,11.4478,11.4478,10.4544,10.4544,10.4544,22461648,-6.75
2000-01-12,10.5017,10.6436,10.2179,10.4544,10.4544,-2147483648,0.0
2000-01-13,10.8801,11.1166,10.6909,11.1166,11.1166,-2147483648,6.33
2000-01-14,11.2586,11.8262,11.0694,11.3059,11.3059,58324148,1.7
2000-01-17,11.1166,11.4951,11.1166,11.4478,11.4478,-2147483648,1.26
2000-01-18,11.6843,11.9208,11.3059,11.3059,11.3059,-2147483648,-1.24
2000-01-19,11.3059,11.4951,11.022,11.022,11.022,-2147483648,-2.51
2000-01-20,11.1166,11.3532,10.8801,11.1166,11.1166,-2147483648,0.86
2000-01-21,11.3532,11.5424,11.2586,11.3532,11.3532,17471742,2.13
2000-01-24,11.8262,11.9681,11.5897,11.8735,11.8735,-2147483648,4.58
2000-01-25,12.1101,12.6777,12.1101,12.6777,12.6777,46962365,6.77
2000-01-26,13.2454,13.34,12.7723,13.0089,13.0089,-2147483648,2.61
2000-01-27,13.0089,13.0089,12.5358,12.5358,12.5358,21066272,-3.64
2000-01-28,12.5358,12.5358,12.0628,12.0628,12.0628,-2147483648,-3.77
2000-01-31,12.4412,12.6304,12.2047,12.4412,12.4412,-2147483648,3.14
2000-02-01,12.7723,13.2927,12.5358,13.2927,13.2927,-2147483648,6.84
2000-02-02,13.2927,13.2927,13.2927,13.2927,13.2927,0,0.0
2000-02-03,13.2927,13.2927,13.2927,13.2927,13.2927,0,0.0
2000-02-04,13.2927,13.2927,13.2927,13.2927,13.2927,0,0.0
2000-02-07,13.2927,13.2927,13.2927,13.2927,13.2927,0,0.0
2000-02-08,13.2927,13.2927,13.2927,13.2927,13.2927,0,0.0
2000-02-09,14.1915,14.1915,13.6711,14.1915,14.1915,31233551,6.76
2000-02-10,14.2861,15.1376,14.2861,14.8064,14.8064,-2147483648,4.33
2000-02-11,15.043,15.0903,14.5699,14.7591,14.7591,37495016,-0.32
2000-02-14,14.7591,14.8064,14.428,14.428,14.428,-2147483648,-2.24
2000-02-15,14.2388,14.6645,13.6238,14.0022,14.0022,-2147483648,-2.95
2000-02-16,14.1915,14.9483,14.1915,14.9483,14.9483,26269562,6.76
2000-02-17,15.1848,15.8471,14.8064,14.8064,14.8064,-2147483648,-0.95
2000-02-18,15.2322,15.3268,14.6645,15.2322,15.2322,32104877,2.88
2000-02-21,16.131001,16.178301,15.0903,15.0903,15.0903,25244742,-0.93
2000-02-22,14.7591,15.2322,14.0496,14.0496,14.0496,21509294,-6.9
2000-02-23,13.7657,14.3334,13.2927,13.34,13.34,16598714,-5.05
2000-02-24,13.7657,14.0022,13.5292,13.7657,13.7657,-2147483648,3.19
2000-02-25,13.955,14.0969,12.8196,12.8196,12.8196,-2147483648,-6.87
2000-02-28,12.8196,12.8196,12.8196,12.8196,12.8196,0,0.0
2000-02-29,13.3873,13.3873,12.2993,12.4885,12.4885,9316538,-2.58
2000-03-01,12.6304,13.34,12.6304,13.34,13.34,11919355,6.82
2000-03-02,13.34,13.6711,13.2454,13.6711,13.6711,15278696,2.48
2000-03-03,13.7184,14.2861,13.7184,13.7184,13.7184,-2147483648,0.35
