Date,Open,High,Low,Close,Adj Close,Volume,change
2010-12-30,31.299999,34.0,31.299999,33.5,33.5,3268000,0.0
2010-12-31,33.400002,34.900002,32.599998,32.950001,32.950001,1813000,-1.64
2011-01-03,33.0,34.5,33.0,34.0,34.0,1378000,3.19
2011-01-04,33.799999,34.900002,33.5,34.150002,34.150002,619000,0.44
2011-01-05,34.150002,34.150002,32.650002,33.0,33.0,732000,-3.37
2011-01-06,33.0,33.450001,32.599998,33.0,33.0,467000,0.0
2011-01-07,33.0,35.299999,33.0,35.299999,35.299999,1082000,6.97
2011-01-10,36.200001,37.75,36.200001,37.75,37.75,679000,6.94
2011-01-11,40.099998,40.349998,39.0,40.349998,40.349998,3034000,6.89
2011-01-12,41.299999,43.150002,41.0,43.150002,43.150002,2633000,6.94
2011-01-13,45.0,46.150002,44.5,46.150002,46.150002,1116000,6.95
2011-01-14,47.049999,49.349998,47.0,48.5,48.5,3245000,5.09
2011-01-17,46.900002,47.0,45.150002,45.150002,45.150002,1532000,-6.91
2011-01-18,42.5,47.099998,42.5,45.099998,45.099998,2536000,-0.11
2011-01-19,46.0,46.400002,43.650002,44.0,44.0,1664000,-2.44
2011-01-20,44.0,47.049999,44.0,47.049999,47.049999,3914000,6.93
2011-01-21,46.950001,49.799999,45.5,48.099998,48.099998,2482000,2.23
2011-01-24,46.099998,47.099998,44.75,45.299999,45.299999,1973000,-5.82
2011-01-25,45.299999,46.099998,44.299999,44.299999,44.299999,757000,-2.21
2011-01-26,44.299999,45.299999,44.200001,44.349998,44.349998,438000,0.11
2011-01-27,44.599998,45.299999,42.0,42.5,42.5,997000,-4.17
2011-01-28,42.5,43.400002,40.0,42.049999,42.049999,1368000,-1.06
2011-02-08,42.549999,44.799999,42.150002,44.0,44.0,665000,4.64
2011-02-09,44.700001,44.700001,42.900002,43.200001,43.200001,359000,-1.82
2011-02-10,43.099998,43.200001,42.0,42.0,42.0,430000,-2.78
2011-02-11,41.5,42.0,40.099998,40.599998,40.599998,583000,-3.33
2011-02-14,40.799999,41.950001,40.799999,41.099998,41.099998,179000,1.23
2011-02-15,39.0,40.5,39.0,39.900002,39.900002,594000,-2.92
2011-02-16,39.900002,39.900002,37.150002,37.299999,37.299999,1071000,-6.52
2011-02-17,37.450001,39.900002,37.450001,39.900002,39.900002,850000,6.97
2011-02-18,40.5,41.299999,39.0,39.150002,39.150002,682000,-1.88
2011-02-21,39.150002,39.599998,38.5,38.5,38.5,258000,-1.66
2011-02-22,38.0,39.400002,37.5,38.599998,38.599998,224000,0.26
2011-02-23,37.900002,39.0,37.5,37.599998,37.599998,213000,-2.59
2011-02-24,37.700001,39.5,37.700001,38.0,38.0,200000,1.06
2011-02-25,38.400002,39.200001,37.799999,38.799999,38.799999,281000,2.11
2011-03-01,39.5,39.5,37.549999,38.299999,38.299999,312000,-1.29
2011-03-02,38.099998,38.599998,37.599998,37.849998,37.849998,205000,-1.17
2011-03-03,38.349998,38.450001,37.700001,37.950001,37.950001,171000,0.26
2011-03-04,39.200001,40.599998,38.5,40.599998,40.599998,1446000,6.98
2011-03-07,43.299999,43.400002,42.099998,43.400002,43.400002,2218000,6.9
2011-03-08,43.650002,46.400002,43.650002,45.0,45.0,3570000,3.69
2011-03-09,43.200001,44.5,43.0,43.200001,43.200001,1182000,-4.0
2011-03-10,43.200001,43.950001,42.75,43.0,43.0,536000,-0.46
2011-03-11,41.099998,42.400002,41.099998,41.700001,41.700001,555000,-3.02
2011-03-14,41.400002,41.400002,39.150002,39.450001,39.450001,444000,-5.4
2011-03-15,39.450001,40.200001,36.700001,36.950001,36.950001,603000,-6.34
2011-03-16,37.5,37.900002,35.599998,37.400002,37.400002,411000,1.22
2011-03-17,36.0,37.0,36.0,36.700001,36.700001,246000,-1.87
2011-03-18,37.450001,37.450001,35.700001,37.200001,37.200001,404000,1.36
2011-03-21,37.700001,37.700001,36.700001,37.049999,37.049999,261000,-0.4
2011-03-22,37.200001,38.849998,37.099998,38.5,38.5,514000,3.91
2011-03-23,38.299999,38.75,37.650002,38.349998,38.349998,273000,-0.39
2011-03-24,38.25,38.799999,37.700001,37.849998,37.849998,405000,-1.3
2011-03-25,38.299999,38.299999,37.849998,37.900002,37.900002,232000,0.13
2011-03-28,38.0,38.0,36.299999,36.599998,36.599998,196000,-3.43
2011-03-29,36.5,37.650002,35.900002,37.25,37.25,184000,1.78
2011-03-30,37.25,37.25,36.400002,36.5,36.5,192000,-2.01
2011-03-31,36.0,36.299999,35.599998,35.799999,35.799999,364000,-1.92
2011-04-01,35.799999,35.799999,35.0,35.049999,35.049999,284000,-2.09
2011-04-06,34.799999,34.799999,33.0,33.099998,33.099998,723000,-5.56
2011-04-07,33.099998,33.099998,31.299999,33.0,33.0,953000,-0.3
2011-04-08,33.0,34.099998,32.599998,33.599998,33.599998,540000,1.82
2011-04-11,33.599998,33.599998,32.599998,32.700001,32.700001,165000,-2.68
2011-04-12,32.5,33.0,31.799999,31.950001,31.950001,152000,-2.29
2011-04-13,31.9,32.0,30.799999,31.5,31.5,414000,-1.41
2011-04-14,31.5,33.700001,31.5,33.700001,33.700001,675000,6.98
