eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1904,14.04,13.62,13.34,13.29,17.84,15.63
2016-01-01,1904,10.19,10.19,10.1,10.14,10.56,14.04
2015-01-01,1904,10.48,10.99,11.21,10.48,10.01,10.19
2014-01-01,1904,11.26,11.42,10.65,10.53,10.82,10.48
2013-01-01,1904,10.17,10.36,10.25,10.4,10.97,11.26
2012-01-01,1904,9.03,9.03,8.69,8.46,9.32,10.17
2011-01-01,1904,9.65,9.71,9.75,9.58,8.76,9.03
2010-01-01,1904,8.26,8.3,8.07,7.64,9.47,9.65
2009-01-01,1904,5.0,5.1,5.67,6.49,7.28,8.26
2008-01-01,1904,7.45,7.55,7.86,6.3,5.05,5.0
2007-01-01,1904,7.63,8.05,7.37,8.23,8.55,7.45
2006-01-01,1904,5.63,5.8,6.84,6.39,6.68,7.63
2005-01-01,1904,5.82,5.82,5.4,5.55,4.73,5.63
2004-01-01,1904,6.92,6.92,5.26,6.11,6.45,5.82
2003-01-01,1904,4.17,4.67,3.83,4.66,5.01,6.92
2002-01-01,1904,3.35,3.3,3.47,3.35,3.02,4.17
2001-01-01,1904,3.39,3.3,2.94,2.32,1.9,3.35
2000-01-01,1904,5.25,5.61,4.94,5.04,3.52,3.39
