eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2340,16.41,15.56,15.92,15.65,20.57,21.33
2016-01-01,2340,9.56,9.27,8.9,10.01,11.4,16.41
2015-01-01,2340,10.26,10.38,10.72,9.08,8.21,9.56
2014-01-01,2340,11.78,11.67,10.97,11.34,10.99,10.26
2013-01-01,2340,8.53,8.21,8.39,8.18,9.1,11.78
2012-01-01,2340,9.53,9.36,9.49,8.52,9.27,8.53
2011-01-01,2340,13.42,12.67,12.11,11.17,7.52,9.53
2010-01-01,2340,16.65,16.81,15.23,13.86,14.62,13.42
2009-01-01,2340,10.94,11.55,11.67,17.37,17.74,16.65
2008-01-01,2340,15.96,16.49,16.13,14.1,8.72,10.94
2007-01-01,2340,24.46,23.09,21.36,24.99,25.03,15.96
2006-01-01,2340,11.15,12.34,15.7,13.18,11.32,24.46
2005-01-01,2340,7.29,7.47,6.92,14.32,8.85,11.15
2004-01-01,2340,15.45,16.45,14.06,9.95,10.35,7.29
2003-01-01,2340,13.4,14.46,12.34,18.9,14.06,15.45
2002-01-01,2340,36.87,35.55,30.24,20.16,18.44,13.4
2001-01-01,2340,28.1,25.55,22.49,18.76,13.4,36.87
2000-01-01,2340,33.9,39.5,36.25,30.95,31.49,28.1
