eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2524,22.28,21.83,21.92,22.33,21.28,20.59
2016-01-01,2524,16.67,16.53,15.84,16.53,17.44,22.28
2015-01-01,2524,22.43,22.64,23.37,21.49,16.8,16.67
2014-01-01,2524,23.24,23.33,21.61,21.1,21.44,22.43
2013-01-01,2524,26.25,25.47,26.25,24.66,23.84,23.24
2012-01-01,2524,20.26,19.46,21.5,20.5,26.98,26.25
2011-01-01,2524,21.33,21.22,21.92,21.11,14.85,20.26
2010-01-01,2524,21.99,22.64,20.14,19.02,20.08,21.33
2009-01-01,2524,12.23,11.96,12.97,16.69,20.47,21.99
2008-01-01,2524,20.24,24.38,30.73,17.69,10.47,12.23
2007-01-01,2524,17.95,18.03,17.48,17.67,15.15,20.24
2006-01-01,2524,14.81,15.11,17.84,16.36,15.39,17.95
2005-01-01,2524,17.31,17.13,15.86,15.53,13.26,14.81
2004-01-01,2524,19.56,18.79,16.79,16.63,16.79,17.31
2003-01-01,2524,2.08,2.03,1.97,2.08,4.59,19.56
2002-01-01,2524,1.85,2.06,2.45,1.96,1.91,2.08
2001-01-01,2524,2.74,2.76,2.36,1.69,1.14,1.85
2000-01-01,2524,3.97,3.99,3.23,2.93,2.77,2.74
