eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1219,15.81,15.76,15.66,16.43,17.81,18.15
2016-01-01,1219,14.32,14.23,14.23,14.42,14.56,15.81
2015-01-01,1219,14.08,13.99,14.27,13.58,13.81,14.32
2014-01-01,1219,14.14,14.5,13.91,14.41,15.14,14.08
2013-01-01,1219,13.37,13.06,13.32,13.28,13.5,14.14
2012-01-01,1219,13.08,12.92,12.31,12.47,13.5,13.37
2011-01-01,1219,11.3,11.49,12.26,12.14,13.12,13.08
2010-01-01,1219,9.06,9.06,8.77,9.42,10.46,11.3
2009-01-01,1219,6.48,6.62,6.52,8.34,8.34,9.06
2008-01-01,1219,8.94,10.05,12.53,10.09,5.31,6.48
2007-01-01,1219,5.73,6.37,5.96,7.3,9.95,8.94
2006-01-01,1219,3.1,3.13,3.45,3.29,3.56,5.73
2005-01-01,1219,3.7,3.53,3.34,3.64,3.3,3.1
2004-01-01,1219,5.36,5.61,4.53,4.18,3.89,3.7
2003-01-01,1219,2.99,3.07,2.78,3.32,3.13,5.36
2002-01-01,1219,3.21,3.33,3.42,3.13,2.63,2.99
2001-01-01,1219,2.95,2.89,2.84,2.74,2.72,3.21
2000-01-01,1219,4.33,4.15,3.81,3.57,2.97,2.95
