eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2352,15.99,16.7,17.05,20.53,20.4,20.54
2016-01-01,2352,8.89,8.93,8.55,9.7,11.76,15.99
2015-01-01,2352,11.43,11.35,10.82,9.78,8.85,8.89
2014-01-01,2352,8.01,8.61,8.09,9.29,11.02,11.43
2013-01-01,2352,5.91,5.71,5.87,5.52,5.54,8.01
2012-01-01,2352,5.54,5.5,5.97,5.66,5.33,5.91
2011-01-01,2352,13.09,13.39,11.62,10.2,6.36,5.54
2010-01-01,2352,13.77,13.47,14.11,11.96,16.59,13.09
2009-01-01,2352,7.75,8.39,9.41,9.22,14.33,13.77
2008-01-01,2352,17.55,17.69,20.15,14.13,9.44,7.75
2007-01-01,2352,14.95,15.0,24.43,15.35,21.24,17.55
2006-01-01,2352,30.99,31.05,30.99,22.97,21.64,14.95
2005-01-01,2352,27.28,27.95,25.48,29.72,32.78,30.99
2004-01-01,2352,32.82,34.21,33.7,32.18,29.5,27.28
2003-01-01,2352,23.84,23.84,21.04,30.03,34.5,32.82
2002-01-01,2352,33.48,33.25,36.97,31.21,26.15,23.84
2001-01-01,2352,11.95,11.66,12.5,15.86,13.44,33.48
2000-01-01,2352,30.44,32.03,25.17,24.87,16.05,11.95
