eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2509,14.45,14.45,14.45,15.05,16.95,24.8
2016-01-01,2509,17.89,17.34,17.38,15.5,14.89,14.45
2015-01-01,2509,17.36,17.15,17.22,17.22,16.94,17.89
2014-01-01,2509,17.39,17.27,16.3,16.11,16.6,17.36
2013-01-01,2509,11.87,11.53,13.67,13.49,13.05,17.39
2012-01-01,2509,10.88,11.32,11.83,11.62,12.27,11.87
2011-01-01,2509,12.17,12.15,12.25,13.27,10.33,10.88
2010-01-01,2509,12.28,13.49,14.04,10.85,12.17,12.17
2009-01-01,2509,6.33,6.95,7.87,11.8,12.33,12.28
2008-01-01,2509,15.7,15.87,15.64,9.0,5.56,6.33
2007-01-01,2509,9.23,9.73,9.08,11.88,20.97,15.7
2006-01-01,2509,3.0,2.96,3.51,5.77,5.68,9.23
2005-01-01,2509,2.48,2.48,2.56,2.59,2.02,3.0
2004-01-01,2509,3.61,3.64,3.61,3.12,2.76,2.48
2003-01-01,2509,2.29,2.28,1.83,2.3,2.65,3.61
2002-01-01,2509,4.71,4.76,4.24,3.89,2.42,2.29
2001-01-01,2509,3.33,3.12,2.78,2.73,2.4,4.71
2000-01-01,2509,7.49,7.39,6.94,5.25,3.62,3.33
