eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2438,9.09,9.0,8.99,8.53,7.68,10.2
2016-01-01,2438,15.0,14.2,13.8,11.9,12.4,9.09
2015-01-01,2438,12.13,15.54,12.51,15.3,13.62,15.0
2014-01-01,2438,5.57,6.86,10.03,8.17,11.68,12.13
2013-01-01,2438,4.53,3.5,3.9,4.07,3.74,5.57
2012-01-01,2438,6.12,6.33,7.3,5.37,5.02,4.53
2011-01-01,2438,12.95,13.1,12.48,8.92,8.45,6.12
2010-01-01,2438,13.1,13.1,12.58,36.81,12.58,12.95
2009-01-01,2438,9.36,9.98,8.74,9.05,10.5,13.1
2008-01-01,2438,86.32,89.96,86.73,55.64,16.22,9.36
2007-01-01,2438,114.6,115.61,109.04,130.75,117.0,86.32
2006-01-01,2438,127.72,123.18,124.7,99.45,89.66,114.6
2005-01-01,2438,96.26,93.13,261.73,118.61,119.14,127.72
2004-01-01,2438,160.76,158.8,131.36,109.79,93.62,96.26
2003-01-01,2438,84.3,87.24,233.79,122.04,110.28,160.76
2002-01-01,2438,178.41,177.43,173.51,108.32,117.63,84.3
2001-01-01,2438,202.54,197.67,169.32,117.88,70.89,178.41
2000-01-01,2438,990.22,376.91,809.57,749.35,162.07,202.54
