eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1435,6.4,5.97,5.62,5.23,5.51,6.09
2016-01-01,1435,4.8,4.71,4.58,4.36,4.42,6.4
2015-01-01,1435,6.06,6.11,6.25,5.67,4.77,4.8
2014-01-01,1435,6.7,6.75,6.41,6.31,6.05,6.06
2013-01-01,1435,6.49,6.0,5.79,6.06,6.25,6.7
2012-01-01,1435,3.73,3.72,3.82,3.35,6.98,6.49
2011-01-01,1435,6.09,6.05,6.33,5.52,3.73,3.73
2010-01-01,1435,4.52,4.43,4.7,5.87,9.77,6.09
2009-01-01,1435,3.14,3.14,3.68,2.84,3.58,4.52
2008-01-01,1435,5.97,6.17,6.17,5.2,2.85,3.14
2007-01-01,1435,6.76,6.53,7.95,14.5,10.0,5.97
2006-01-01,1435,13.8,14.45,12.8,9.96,5.05,6.76
2005-01-01,1435,6.82,6.57,5.7,6.74,11.3,13.8
2004-01-01,1435,9.15,9.0,7.5,8.2,5.9,6.82
2003-01-01,1435,10.0,10.05,9.5,14.8,13.1,9.15
2002-01-01,1435,12.2,12.1,12.0,11.2,9.6,10.0
2001-01-01,1435,9.0,9.0,10.3,11.4,10.5,12.2
2000-01-01,1435,13.7,13.8,12.9,12.0,10.0,9.0
