eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2393,42.43,40.99,40.99,42.34,43.8,41.57
2016-01-01,2393,44.51,39.2,37.31,43.19,44.52,42.43
2015-01-01,2393,52.8,53.4,54.46,45.5,41.63,44.51
2014-01-01,2393,56.48,56.98,51.77,56.48,49.71,52.8
2013-01-01,2393,33.88,33.49,33.11,36.42,39.32,56.48
2012-01-01,2393,41.14,39.39,41.61,33.55,33.07,33.88
2011-01-01,2393,53.17,52.6,51.9,49.8,34.29,41.14
2010-01-01,2393,62.52,63.13,58.86,51.05,55.53,53.17
2009-01-01,2393,36.75,38.22,43.39,51.15,63.71,62.52
2008-01-01,2393,57.72,59.38,63.52,41.65,38.04,36.75
2007-01-01,2393,68.05,64.67,61.04,60.78,80.09,57.72
2006-01-01,2393,46.74,46.89,43.96,38.83,48.31,68.05
2005-01-01,2393,17.47,18.45,15.93,18.93,21.98,46.74
2004-01-01,2393,24.55,24.36,21.12,18.23,14.34,17.47
2003-01-01,2393,11.23,12.21,9.45,12.68,15.87,24.55
2002-01-01,2393,10.28,9.82,9.82,7.54,9.69,11.23
2001-01-01,2393,8.04,7.34,6.1,5.19,3.15,10.28
2000-01-01,2393,11.73,19.54,11.1,14.8,9.11,8.04
