eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1727,12.72,12.72,12.58,11.85,12.17,14.24
2016-01-01,1727,12.53,12.36,12.14,11.43,11.8,12.72
2015-01-01,1727,15.05,15.33,15.7,14.36,13.02,12.53
2014-01-01,1727,12.9,13.09,13.06,14.95,14.23,15.05
2013-01-01,1727,12.35,12.38,12.59,12.76,12.87,12.9
2012-01-01,1727,13.34,12.34,12.13,11.63,14.18,12.35
2011-01-01,1727,16.11,15.9,14.58,13.51,10.85,13.34
2010-01-01,1727,14.84,14.17,13.56,11.85,16.31,16.11
2009-01-01,1727,8.18,8.44,7.61,6.83,7.71,14.84
2008-01-01,1727,6.49,6.67,11.16,8.19,6.85,8.18
2007-01-01,1727,4.2,4.68,4.57,5.33,9.3,6.49
2006-01-01,1727,3.78,3.86,3.98,3.84,4.09,4.2
2005-01-01,1727,3.33,3.37,3.28,3.37,3.84,3.78
2004-01-01,1727,3.03,3.13,3.05,2.98,3.52,3.33
2003-01-01,1727,2.01,1.83,1.86,2.13,2.36,3.03
2002-01-01,1727,1.9,1.87,2.07,1.84,1.42,2.01
2001-01-01,1727,1.53,1.39,1.52,1.35,0.94,1.9
2000-01-01,1727,1.73,1.95,1.72,1.67,1.49,1.53
