eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2312,11.95,11.45,11.35,11.25,10.25,10.3
2016-01-01,2312,10.6,10.85,10.85,12.05,12.15,11.95
2015-01-01,2312,14.0,13.5,13.05,11.6,11.0,10.6
2014-01-01,2312,11.55,11.7,11.4,14.25,14.2,14.0
2013-01-01,2312,6.96,6.76,7.0,9.25,11.9,11.55
2012-01-01,2312,7.1,6.94,6.89,6.52,6.93,6.96
2011-01-01,2312,9.32,9.34,9.25,9.18,7.35,7.1
2010-01-01,2312,9.46,9.62,9.57,8.63,11.45,9.32
2009-01-01,2312,7.6,8.45,8.77,7.11,8.66,9.46
2008-01-01,2312,10.29,10.49,11.23,8.78,7.44,7.6
2007-01-01,2312,11.92,12.5,11.83,13.02,12.75,10.29
2006-01-01,2312,11.68,11.64,12.82,11.45,11.05,11.92
2005-01-01,2312,11.46,11.3,10.84,12.53,13.1,11.68
2004-01-01,2312,14.45,14.53,13.31,12.9,11.87,11.46
2003-01-01,2312,10.86,11.27,10.37,13.54,14.15,14.45
2002-01-01,2312,17.76,16.73,14.68,11.41,13.28,10.86
2001-01-01,2312,10.61,10.56,9.87,9.15,6.8,17.76
2000-01-01,2312,23.1,24.08,17.69,16.91,9.79,10.61
