eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2417,10.4,10.4,10.35,10.75,12.4,12.95
2016-01-01,2417,9.23,8.91,8.84,8.96,10.3,10.4
2015-01-01,2417,13.98,13.54,12.17,10.55,8.58,9.23
2014-01-01,2417,13.19,13.63,12.22,12.61,11.63,13.98
2013-01-01,2417,13.45,12.69,12.55,12.65,12.51,13.19
2012-01-01,2417,23.02,21.89,20.82,20.38,16.51,13.45
2011-01-01,2417,29.04,28.81,29.04,29.15,22.67,23.02
2010-01-01,2417,32.8,33.46,34.68,31.17,32.99,29.04
2009-01-01,2417,21.07,22.92,26.2,23.74,29.39,32.8
2008-01-01,2417,31.88,31.46,31.94,27.61,16.97,21.07
2007-01-01,2417,26.22,26.33,25.38,30.82,42.47,31.88
2006-01-01,2417,22.22,22.51,24.08,18.84,19.13,26.22
2005-01-01,2417,10.02,9.99,9.19,11.91,12.63,22.22
2004-01-01,2417,10.07,10.57,9.27,9.22,8.87,10.02
2003-01-01,2417,5.69,6.13,5.62,8.85,8.32,10.07
2002-01-01,2417,6.35,5.75,5.13,4.15,5.2,5.69
2001-01-01,2417,5.73,4.98,4.24,3.37,2.63,6.35
2000-01-01,2417,5.29,6.6,5.09,5.36,3.41,5.73
