eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2536,21.63,20.95,20.78,19.98,19.45,21.17
2016-01-01,2536,20.6,19.67,19.79,21.18,22.31,21.63
2015-01-01,2536,18.83,18.69,19.01,17.14,16.93,20.6
2014-01-01,2536,19.29,19.4,18.18,16.69,17.1,18.83
2013-01-01,2536,20.68,20.26,20.94,19.02,20.34,19.29
2012-01-01,2536,18.56,17.81,16.37,15.04,18.6,20.68
2011-01-01,2536,18.66,18.87,18.35,18.79,14.32,18.56
2010-01-01,2536,20.64,21.77,19.91,19.28,23.33,18.66
2009-01-01,2536,12.75,13.5,14.89,20.03,25.13,20.64
2008-01-01,2536,21.31,24.09,24.09,16.06,8.87,12.75
2007-01-01,2536,12.64,12.72,13.22,15.02,13.58,21.31
2006-01-01,2536,9.44,8.82,11.87,11.52,14.29,12.64
2005-01-01,2536,7.82,7.73,6.88,8.47,7.06,9.44
2004-01-01,2536,8.65,8.22,7.15,7.92,8.29,7.82
2003-01-01,2536,2.11,2.18,1.93,2.68,5.16,8.65
2002-01-01,2536,1.4,1.66,2.18,1.95,1.22,2.11
2001-01-01,2536,1.36,1.25,1.22,0.86,0.86,1.4
2000-01-01,2536,2.7,2.69,2.67,2.23,2.07,1.36
