eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2901,24.37,23.45,23.11,23.64,27.1,24.94
2016-01-01,2901,25.3,25.15,24.44,24.63,25.53,24.37
2015-01-01,2901,28.63,28.73,29.24,27.14,25.68,25.3
2014-01-01,2901,34.2,33.65,32.45,32.86,32.05,28.63
2013-01-01,2901,35.0,33.82,33.55,35.55,35.02,34.2
2012-01-01,2901,23.72,22.65,22.69,22.6,39.64,35.0
2011-01-01,2901,22.55,22.68,22.68,22.99,21.35,23.72
2010-01-01,2901,22.45,23.02,21.18,21.84,26.31,22.55
2009-01-01,2901,16.68,16.68,17.54,24.08,23.2,22.45
2008-01-01,2901,24.56,25.54,30.78,21.64,15.68,16.68
2007-01-01,2901,23.61,24.56,24.47,24.6,22.93,24.56
2006-01-01,2901,11.45,11.7,15.26,14.58,14.81,23.61
2005-01-01,2901,11.67,11.46,10.96,12.46,11.66,11.45
2004-01-01,2901,15.06,14.97,14.3,13.22,13.38,11.67
2003-01-01,2901,15.56,15.14,14.89,14.39,14.72,15.06
2002-01-01,2901,14.95,15.7,18.17,16.11,13.47,15.56
2001-01-01,2901,16.44,15.36,16.6,12.89,10.0,14.95
2000-01-01,2901,18.73,19.52,17.64,15.02,15.88,16.44
