eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1402,24.55,23.85,23.62,23.43,23.28,25.4
2016-01-01,1402,22.93,22.22,21.55,21.9,21.94,24.55
2015-01-01,1402,26.89,27.44,28.16,27.48,26.38,22.93
2014-01-01,1402,25.74,25.7,25.02,26.01,25.79,26.89
2013-01-01,1402,23.37,22.47,23.67,24.27,25.66,25.74
2012-01-01,1402,23.43,22.91,23.18,22.08,24.5,23.37
2011-01-01,1402,29.32,28.81,28.4,28.84,20.77,23.43
2010-01-01,1402,20.97,21.9,20.25,19.71,27.32,29.32
2009-01-01,1402,15.97,15.8,18.82,22.21,23.21,20.97
2008-01-01,1402,24.95,26.39,26.55,20.21,13.4,15.97
2007-01-01,1402,13.82,14.26,15.04,16.71,23.46,24.95
2006-01-01,1402,9.81,10.36,13.1,11.7,12.55,13.82
2005-01-01,1402,6.77,6.65,6.9,7.63,9.0,9.81
2004-01-01,1402,6.16,7.1,5.88,6.01,8.02,6.77
2003-01-01,1402,3.12,3.31,2.61,3.51,4.28,6.16
2002-01-01,1402,3.33,3.22,3.62,3.1,2.43,3.12
2001-01-01,1402,4.5,4.13,4.03,3.81,2.31,3.33
2000-01-01,1402,9.85,9.38,7.35,6.25,6.42,4.5
