eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2347,30.54,30.31,30.35,31.23,34.54,41.98
2016-01-01,2347,27.97,27.34,26.33,28.9,31.73,30.54
2015-01-01,2347,32.27,32.43,33.24,34.81,27.93,27.97
2014-01-01,2347,35.01,34.28,34.03,36.38,32.2,32.27
2013-01-01,2347,37.5,34.41,33.79,27.21,33.01,35.01
2012-01-01,2347,47.28,46.44,45.34,46.44,46.03,37.5
2011-01-01,2347,43.99,44.93,46.68,43.56,42.18,47.28
2010-01-01,2347,39.24,38.8,40.72,38.25,44.68,43.99
2009-01-01,2347,21.77,23.47,24.47,26.65,37.64,39.24
2008-01-01,2347,34.96,38.38,35.98,27.85,24.32,21.77
2007-01-01,2347,16.8,17.42,15.53,19.69,38.13,34.96
2006-01-01,2347,12.2,12.64,13.34,11.72,11.64,16.8
2005-01-01,2347,11.14,11.33,11.21,10.54,13.51,12.2
2004-01-01,2347,11.17,10.99,8.66,9.35,11.09,11.14
2003-01-01,2347,7.22,7.31,6.04,7.29,8.26,11.17
2002-01-01,2347,5.69,5.58,5.49,5.42,6.54,7.22
2001-01-01,2347,5.89,5.54,6.2,5.05,3.34,5.69
2000-01-01,2347,15.66,16.12,13.45,10.4,7.72,5.89
