eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2363,7.4,7.11,6.76,7.22,7.63,9.62
2016-01-01,2363,7.45,7.75,7.36,6.81,7.02,7.4
2015-01-01,2363,9.19,9.37,9.05,7.02,6.05,7.45
2014-01-01,2363,10.14,10.65,9.33,11.17,9.93,9.19
2013-01-01,2363,11.01,10.37,11.28,11.83,10.41,10.14
2012-01-01,2363,12.49,11.83,12.21,11.17,11.67,11.01
2011-01-01,2363,18.4,17.91,17.14,17.8,13.58,12.49
2010-01-01,2363,24.7,23.22,22.07,22.02,21.96,18.4
2009-01-01,2363,15.33,16.74,20.39,21.37,28.42,24.7
2008-01-01,2363,20.35,20.64,21.78,16.78,11.78,15.33
2007-01-01,2363,37.76,38.59,38.38,38.49,32.99,20.35
2006-01-01,2363,36.93,36.23,38.02,31.96,30.4,37.76
2005-01-01,2363,23.56,24.03,25.36,30.59,47.25,36.93
2004-01-01,2363,42.42,42.42,36.41,28.15,24.22,23.56
2003-01-01,2363,43.35,42.98,36.03,46.54,51.05,42.42
2002-01-01,2363,100.41,93.28,85.21,52.55,55.55,43.35
2001-01-01,2363,104.08,104.08,87.87,67.74,45.04,100.41
2000-01-01,2363,148.39,166.46,145.1,152.22,116.88,104.08
