eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1456,12.45,11.8,11.0,10.8,10.3,10.15
2016-01-01,1456,9.1,9.0,11.5,9.36,9.2,12.45
2015-01-01,1456,16.34,15.89,16.64,15.68,15.14,9.1
2014-01-01,1456,20.0,19.93,20.68,22.95,20.41,16.34
2013-01-01,1456,15.06,15.06,16.42,20.45,21.88,20.0
2012-01-01,1456,8.24,8.35,10.8,8.47,11.93,15.06
2011-01-01,1456,12.78,13.81,13.18,17.27,11.25,8.24
2010-01-01,1456,8.3,8.12,8.01,8.07,13.92,12.78
2009-01-01,1456,13.12,14.72,13.64,6.08,7.95,8.3
2008-01-01,1456,24.88,26.32,37.7,22.76,17.52,13.12
2007-01-01,1456,27.61,29.66,29.05,29.89,28.3,24.88
2006-01-01,1456,15.32,16.69,20.71,16.92,14.41,27.61
2005-01-01,1456,25.33,24.31,16.39,17.83,13.96,15.32
2004-01-01,1456,56.3,60.26,56.3,38.77,36.85,25.33
2003-01-01,1456,118.99,122.83,67.81,70.37,52.71,56.3
2002-01-01,1456,102.35,100.65,92.12,85.29,85.29,118.99
2001-01-01,1456,112.59,113.44,109.18,95.53,92.97,102.35
2000-01-01,1456,46.8,183.38,41.53,168.88,162.06,112.59
