eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1321,26.1,25.1,24.55,26.25,29.5,27.3
2016-01-01,1321,26.7,26.95,25.35,25.0,25.45,26.1
2015-01-01,1321,37.4,36.3,38.3,29.9,29.85,26.7
2014-01-01,1321,47.2,46.0,41.15,45.0,39.0,37.4
2013-01-01,1321,32.2,30.2,31.7,38.5,33.8,47.2
2012-01-01,1321,21.75,22.1,21.8,20.65,29.7,32.2
2011-01-01,1321,19.95,20.5,21.55,20.05,18.7,21.75
2010-01-01,1321,24.05,24.15,21.85,19.4,23.4,19.95
2009-01-01,1321,13.4,14.2,14.6,20.0,24.45,24.05
2008-01-01,1321,24.05,28.65,29.25,23.0,12.75,13.4
2007-01-01,1321,17.88,19.32,20.57,23.4,23.1,24.05
2006-01-01,1321,9.59,9.73,14.43,18.07,14.11,17.88
2005-01-01,1321,11.51,11.24,9.63,9.52,9.27,9.59
2004-01-01,1321,13.98,14.42,13.91,12.88,12.28,11.51
2003-01-01,1321,5.89,6.07,5.04,5.74,6.84,13.98
2002-01-01,1321,6.95,6.62,7.51,5.96,5.89,5.89
2001-01-01,1321,6.03,6.03,5.48,4.27,4.34,6.95
2000-01-01,1321,11.95,11.88,10.95,9.94,8.24,6.03
