eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2841,11.1,11.4,11.35,11.15,10.3,9.85
2016-01-01,2841,11.11,11.06,10.01,10.11,10.25,11.1
2015-01-01,2841,13.83,13.35,13.53,10.62,10.11,11.11
2014-01-01,2841,9.38,9.34,9.17,9.34,9.36,13.83
2013-01-01,2841,9.51,9.46,9.67,8.97,9.09,9.38
2012-01-01,2841,9.62,9.3,9.34,9.11,9.58,9.51
2011-01-01,2841,9.47,9.95,9.6,10.18,9.19,9.62
2010-01-01,2841,9.0,8.88,8.32,7.67,9.43,9.47
2009-01-01,2841,6.51,6.13,9.05,8.43,8.54,9.0
2008-01-01,2841,10.43,10.84,12.02,6.78,5.45,6.51
2007-01-01,2841,8.84,9.05,9.75,9.87,9.69,10.43
2006-01-01,2841,4.74,4.64,7.51,7.01,6.45,8.84
2005-01-01,2841,1.64,1.66,1.53,2.1,2.86,4.74
2004-01-01,2841,2.19,2.29,1.84,0.98,1.63,1.64
2003-01-01,2841,1.2,1.11,1.08,1.09,1.12,2.19
2002-01-01,2841,2.65,3.65,3.51,2.39,0.98,1.2
2001-01-01,2841,3.21,2.66,3.09,2.27,2.06,2.65
2000-01-01,2841,9.6,9.07,6.16,3.62,1.92,3.21
