eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2439,142.92,132.09,161.11,161.54,181.76,151.31
2016-01-01,2439,45.57,47.16,53.61,56.96,116.94,142.92
2015-01-01,2439,77.2,76.19,54.81,57.07,34.09,45.57
2014-01-01,2439,123.23,123.23,119.24,123.59,111.57,77.2
2013-01-01,2439,31.71,31.91,35.29,42.5,60.38,123.23
2012-01-01,2439,29.7,28.8,34.78,23.99,31.12,31.71
2011-01-01,2439,24.81,24.56,24.29,24.45,18.87,29.7
2010-01-01,2439,31.27,32.17,29.61,22.04,30.29,24.81
2009-01-01,2439,14.14,14.3,14.96,14.85,20.74,31.27
2008-01-01,2439,27.5,31.56,33.9,20.93,19.13,14.14
2007-01-01,2439,39.65,40.38,41.65,43.66,53.36,27.5
2006-01-01,2439,34.66,36.63,34.34,32.05,41.65,39.65
2005-01-01,2439,19.14,18.52,18.21,22.12,26.98,34.66
2004-01-01,2439,16.72,16.83,18.16,17.49,19.03,19.14
2003-01-01,2439,8.38,8.13,7.9,10.2,13.51,16.72
2002-01-01,2439,10.44,9.73,8.31,6.95,8.32,8.38
2001-01-01,2439,7.91,8.01,9.33,9.65,6.63,10.44
2000-01-01,2439,7.6,9.13,7.96,7.6,9.68,7.91
