eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,9927,38.3,37.7,37.9,39.8,37.6,40.4
2016-01-01,9927,30.65,29.95,29.3,31.0,32.5,38.3
2015-01-01,9927,39.0,39.75,42.0,35.65,29.25,30.65
2014-01-01,9927,35.8,35.45,34.8,36.15,34.9,39.0
2013-01-01,9927,31.07,30.59,30.83,33.41,33.0,35.8
2012-01-01,9927,27.95,27.17,27.71,25.56,29.9,31.07
2011-01-01,9927,40.34,42.15,38.05,39.07,30.98,27.95
2010-01-01,9927,42.04,43.48,40.98,37.77,34.15,40.34
2009-01-01,9927,20.53,23.88,24.34,27.87,39.4,42.04
2008-01-01,9927,54.31,55.02,53.24,39.18,17.28,20.53
2007-01-01,9927,27.2,31.15,30.44,39.93,74.36,54.31
2006-01-01,9927,21.87,23.74,24.76,23.07,22.76,27.2
2005-01-01,9927,26.71,26.53,22.89,25.51,23.6,21.87
2004-01-01,9927,30.95,31.39,22.88,23.47,36.2,26.71
2003-01-01,9927,11.03,11.21,9.39,11.39,13.42,30.95
2002-01-01,9927,13.77,12.92,12.72,12.52,10.57,11.03
2001-01-01,9927,9.13,9.0,7.86,6.16,5.96,13.77
2000-01-01,9927,8.69,9.05,7.62,6.52,4.44,9.13
