eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1451,23.84,23.62,23.66,22.75,21.76,23.74
2016-01-01,1451,20.36,19.9,19.49,21.18,21.09,23.84
2015-01-01,1451,21.24,21.28,22.1,20.74,17.07,20.36
2014-01-01,1451,22.27,22.31,21.51,21.94,20.35,21.24
2013-01-01,1451,16.1,15.99,17.98,21.36,21.36,22.27
2012-01-01,1451,16.57,16.25,15.77,15.69,15.72,16.1
2011-01-01,1451,20.38,20.34,21.04,21.13,15.97,16.57
2010-01-01,1451,16.42,16.37,16.24,15.57,19.06,20.38
2009-01-01,1451,8.05,8.14,10.87,9.95,14.86,16.42
2008-01-01,1451,17.18,17.14,16.6,14.2,8.96,8.05
2007-01-01,1451,16.71,17.45,16.86,18.51,18.78,17.18
2006-01-01,1451,14.74,14.77,14.99,12.93,13.65,16.71
2005-01-01,1451,20.34,20.38,19.64,19.2,16.73,14.74
2004-01-01,1451,22.04,22.51,21.17,19.78,21.11,20.34
2003-01-01,1451,20.0,21.15,20.9,23.72,23.32,22.04
2002-01-01,1451,14.9,15.33,17.72,18.52,19.68,20.0
2001-01-01,1451,16.61,15.58,15.28,15.79,10.55,14.9
2000-01-01,1451,27.91,29.28,27.71,24.88,18.96,16.61
