eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2345,64.84,62.54,59.88,71.63,95.27,89.81
2016-01-01,2345,30.91,27.56,25.8,38.08,43.9,64.84
2015-01-01,2345,13.15,13.23,12.87,12.13,13.65,30.91
2014-01-01,2345,13.15,14.35,14.16,15.13,14.29,13.15
2013-01-01,2345,12.29,12.29,12.4,13.65,12.49,13.15
2012-01-01,2345,11.74,11.55,11.58,11.06,11.29,12.29
2011-01-01,2345,10.87,11.13,10.93,10.72,8.58,11.74
2010-01-01,2345,7.41,7.46,8.52,8.62,12.56,10.87
2009-01-01,2345,4.88,5.09,4.86,5.45,5.75,7.41
2008-01-01,2345,5.59,5.66,6.01,4.52,3.42,4.88
2007-01-01,2345,10.14,10.0,8.64,9.62,7.67,5.59
2006-01-01,2345,8.19,8.97,8.78,7.65,7.98,10.14
2005-01-01,2345,7.49,7.56,7.18,7.79,6.08,8.19
2004-01-01,2345,12.67,13.42,10.8,8.59,6.71,7.49
2003-01-01,2345,12.02,12.85,9.68,13.1,11.41,12.67
2002-01-01,2345,31.76,27.56,28.07,17.98,21.62,12.02
2001-01-01,2345,15.83,15.69,14.15,14.15,13.21,31.76
2000-01-01,2345,15.75,26.03,10.19,18.07,14.85,15.83
