eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1449,5.29,5.15,5.15,5.43,5.06,6.4
2016-01-01,1449,5.05,4.8,4.47,3.92,4.89,5.29
2015-01-01,1449,4.32,6.03,8.52,8.13,6.83,5.05
2014-01-01,1449,4.3,4.5,4.38,4.3,3.99,4.32
2013-01-01,1449,5.48,5.48,6.91,5.06,4.95,4.3
2012-01-01,1449,5.03,5.34,4.97,4.89,8.4,5.48
2011-01-01,1449,8.94,9.27,9.39,10.4,7.45,5.03
2010-01-01,1449,8.74,8.57,8.6,7.42,11.44,8.94
2009-01-01,1449,6.26,6.97,7.49,6.56,6.71,8.74
2008-01-01,1449,18.05,19.49,19.86,14.68,8.06,6.26
2007-01-01,1449,22.61,24.48,22.05,21.74,22.42,18.05
2006-01-01,1449,25.67,26.42,25.42,22.55,18.74,22.61
2005-01-01,1449,35.27,33.41,34.7,33.55,12.78,25.67
2004-01-01,1449,72.41,78.15,69.69,50.9,51.48,35.27
2003-01-01,1449,43.45,44.02,35.13,55.92,42.44,72.41
2002-01-01,1449,61.94,61.37,61.66,66.24,55.49,43.45
2001-01-01,1449,59.94,62.81,53.48,43.73,38.57,61.94
2000-01-01,1449,151.99,154.86,144.82,129.05,86.75,59.94
