eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1701,17.79,17.42,17.51,17.65,17.32,19.06
2016-01-01,1701,17.45,17.32,16.91,16.73,17.04,17.79
2015-01-01,1701,17.93,17.8,18.06,17.09,15.63,17.45
2014-01-01,1701,20.13,19.91,19.31,20.13,18.94,17.93
2013-01-01,1701,17.08,18.34,18.18,17.08,20.56,20.13
2012-01-01,1701,16.28,16.36,15.59,15.51,17.92,17.08
2011-01-01,1701,19.76,20.04,21.35,18.8,14.32,16.28
2010-01-01,1701,16.25,16.48,16.56,15.02,21.59,19.76
2009-01-01,1701,11.87,11.91,15.99,15.61,18.72,16.25
2008-01-01,1701,15.03,16.21,15.84,10.72,8.09,11.87
2007-01-01,1701,8.14,8.39,9.22,13.32,19.27,15.03
2006-01-01,1701,6.97,7.14,7.88,7.67,7.63,8.14
2005-01-01,1701,6.92,6.87,6.6,6.87,5.54,6.97
2004-01-01,1701,6.3,6.3,5.24,5.72,7.24,6.92
2003-01-01,1701,4.35,4.2,3.74,4.01,4.32,6.3
2002-01-01,1701,4.44,4.83,5.12,4.11,3.26,4.35
2001-01-01,1701,5.34,4.78,4.18,3.82,3.09,4.44
2000-01-01,1701,5.99,6.94,5.27,6.94,4.44,5.34
