eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2330,193.0,191.0,196.5,209.0,220.5,246.5
2016-01-01,2330,158.5,158.5,147.5,166.0,186.0,193.0
2015-01-01,2330,144.0,147.0,147.5,141.0,133.5,158.5
2014-01-01,2330,119.5,119.0,118.0,128.0,121.5,144.0
2013-01-01,2330,101.0,98.3,110.5,108.0,101.5,119.5
2012-01-01,2330,85.1,82.0,88.4,83.3,88.9,101.0
2011-01-01,2330,70.7,70.1,74.6,72.8,68.6,85.1
2010-01-01,2330,62.1,62.7,61.6,60.2,62.0,70.7
2009-01-01,2330,52.14,52.14,58.71,54.73,65.0,62.1
2008-01-01,2330,61.18,62.47,67.32,63.56,52.24,52.14
2007-01-01,2330,67.18,68.27,66.99,70.29,63.26,61.18
2006-01-01,2330,61.98,63.22,64.27,57.63,59.3,67.18
2005-01-01,2330,46.29,45.67,46.02,51.46,50.5,61.98
2004-01-01,2330,45.89,47.05,44.74,42.59,39.16,46.29
2003-01-01,2330,32.55,35.25,37.25,45.12,51.29,45.89
2002-01-01,2330,66.96,64.16,59.6,51.68,30.93,32.55
2001-01-01,2330,42.57,39.57,48.08,46.98,31.55,66.96
2000-01-01,2330,80.21,82.17,77.08,71.87,49.33,42.57
