eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2538,9.78,9.56,9.35,9.69,9.32,9.74
2016-01-01,2538,12.91,12.44,11.7,11.28,9.01,9.78
2015-01-01,2538,14.12,14.12,14.52,13.22,12.79,12.91
2014-01-01,2538,14.2,14.23,13.83,13.8,13.43,14.12
2013-01-01,2538,13.63,13.26,12.92,13.54,13.26,14.2
2012-01-01,2538,9.25,8.94,9.68,9.61,11.0,13.63
2011-01-01,2538,8.78,9.29,9.02,10.54,8.03,9.25
2010-01-01,2538,8.4,8.77,7.68,6.93,8.73,8.78
2009-01-01,2538,4.51,4.58,5.26,6.64,8.04,8.4
2008-01-01,2538,10.19,10.6,9.34,5.35,3.25,4.51
2007-01-01,2538,9.88,10.11,12.58,14.79,10.39,10.19
2006-01-01,2538,2.26,2.23,3.14,4.14,5.17,9.88
2005-01-01,2538,1.96,1.99,1.7,1.99,2.23,2.26
2004-01-01,2538,3.08,3.18,2.55,2.77,1.97,1.96
2003-01-01,2538,1.07,1.1,0.86,1.4,2.52,3.08
2002-01-01,2538,1.24,1.73,1.94,0.77,0.96,1.07
2001-01-01,2538,2.37,2.37,1.96,1.84,1.15,1.24
2000-01-01,2538,3.77,4.69,3.37,3.94,2.36,2.37
