eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2010,12.45,12.2,12.0,12.05,11.3,12.4
2016-01-01,2010,10.25,10.4,10.75,10.4,10.7,12.45
2015-01-01,2010,11.35,11.55,11.6,10.5,9.2,10.25
2014-01-01,2010,12.2,12.3,12.7,13.65,11.85,11.35
2013-01-01,2010,11.25,11.15,11.25,11.45,11.0,12.2
2012-01-01,2010,12.45,12.25,12.21,12.16,11.7,11.25
2011-01-01,2010,14.2,14.2,14.34,13.74,11.91,12.45
2010-01-01,2010,12.37,12.42,12.64,11.27,13.74,14.2
2009-01-01,2010,9.21,9.52,9.56,9.07,9.76,12.37
2008-01-01,2010,11.46,11.5,11.97,11.72,9.87,9.21
2007-01-01,2010,11.7,11.9,10.81,11.9,13.0,11.46
2006-01-01,2010,12.35,12.66,12.2,10.46,10.18,11.7
2005-01-01,2010,11.57,11.71,10.6,9.93,12.73,12.35
2004-01-01,2010,10.57,11.04,9.35,10.57,12.93,11.57
2003-01-01,2010,7.93,8.3,7.53,9.35,8.45,10.57
2002-01-01,2010,4.68,4.91,5.15,5.89,5.94,7.93
2001-01-01,2010,4.97,4.76,4.73,4.49,3.22,4.68
2000-01-01,2010,7.5,7.66,6.84,6.13,4.44,4.97
