eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2912,259.5,258.0,262.0,272.5,254.0,295.5
2016-01-01,2912,236.0,228.0,224.0,255.0,250.5,259.5
2015-01-01,2912,232.0,224.5,232.0,215.0,210.5,236.0
2014-01-01,2912,214.0,220.0,226.5,239.0,218.0,232.0
2013-01-01,2912,167.0,169.5,183.5,197.0,207.5,214.0
2012-01-01,2912,166.0,159.5,157.5,158.0,156.5,167.0
2011-01-01,2912,132.5,135.0,159.0,171.5,163.0,166.0
2010-01-01,2912,79.4,79.5,87.0,93.0,132.0,132.5
2009-01-01,2912,70.86,69.1,74.82,74.21,76.3,79.4
2008-01-01,2912,88.03,88.91,92.87,88.91,81.87,70.86
2007-01-01,2912,71.21,74.65,74.82,82.39,82.22,88.03
2006-01-01,2912,61.53,62.85,69.54,62.5,62.68,71.21
2005-01-01,2912,47.8,50.26,50.62,54.84,54.58,61.53
2004-01-01,2912,50.37,49.13,51.2,52.85,44.01,47.8
2003-01-01,2912,26.11,28.72,29.45,31.92,38.23,50.37
2002-01-01,2912,34.5,33.96,32.62,34.5,36.4,26.11
2001-01-01,2912,43.6,42.66,44.54,34.69,36.39,34.5
2000-01-01,2912,56.99,54.98,43.75,48.16,44.77,43.6
