eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,1326,84.53,84.44,83.02,85.6,86.83,101.57
2016-01-01,1326,69.09,69.0,68.83,70.03,75.81,84.53
2015-01-01,1326,58.33,62.02,65.87,62.02,58.7,69.09
2014-01-01,1326,59.46,59.86,58.57,61.97,58.5,58.33
2013-01-01,1326,54.19,52.17,53.73,54.9,64.81,59.46
2012-01-01,1326,63.05,62.83,62.75,58.32,61.45,54.19
2011-01-01,1326,76.6,79.69,77.63,72.14,57.8,63.05
2010-01-01,1326,48.34,49.05,50.6,47.25,52.21,76.6
2009-01-01,1326,26.35,29.46,34.56,30.81,40.47,48.34
2008-01-01,1326,43.25,43.75,40.73,36.59,33.83,26.35
2007-01-01,1326,32.71,33.53,32.4,42.21,46.66,43.25
2006-01-01,1326,23.23,22.96,22.92,22.47,25.28,32.71
2005-01-01,1326,21.32,20.76,20.89,20.33,22.25,23.23
2004-01-01,1326,14.9,15.33,13.64,15.93,20.53,21.32
2003-01-01,1326,8.25,8.55,7.75,9.68,13.18,14.9
2002-01-01,1326,7.69,7.25,6.25,6.25,6.1,8.25
2001-01-01,1326,4.55,4.23,4.16,5.01,4.14,7.69
2000-01-01,1326,6.69,6.83,5.93,5.98,5.0,4.55
