eventime,index,evenPrice,evenPrice5d,evenPrice1m,evenPrice3m,evenPrice6m,evenPrice1y
2017-01-01,2376,38.41,38.05,36.25,37.24,36.13,63.37
2016-01-01,2376,31.71,31.08,30.54,34.72,37.2,38.41
2015-01-01,2376,31.23,30.33,30.66,25.92,28.79,31.71
2014-01-01,2376,33.75,35.47,36.35,37.2,28.0,31.23
2013-01-01,2376,19.78,19.5,20.1,20.1,22.08,33.75
2012-01-01,2376,16.49,16.88,17.21,18.5,19.04,19.78
2011-01-01,2376,17.21,17.54,18.21,19.52,16.82,16.49
2010-01-01,2376,17.62,17.65,19.54,17.79,18.3,17.21
2009-01-01,2376,10.25,11.47,12.58,10.6,14.97,17.62
2008-01-01,2376,12.52,12.36,13.82,12.05,9.08,10.25
2007-01-01,2376,11.77,11.72,10.85,12.69,14.02,12.52
2006-01-01,2376,11.65,12.39,11.84,9.28,13.63,11.77
2005-01-01,2376,13.91,13.85,13.25,15.83,14.99,11.65
2004-01-01,2376,22.9,23.48,22.51,19.29,17.98,13.91
2003-01-01,2376,15.25,16.57,17.56,23.48,25.23,22.9
2002-01-01,2376,22.95,22.72,19.94,15.65,20.11,15.25
2001-01-01,2376,18.3,17.67,17.31,18.21,13.21,22.95
2000-01-01,2376,26.91,28.15,25.18,26.78,16.59,18.3
