,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,74.97,149.59,136.84,117.67,-9.0,2.12,172.16,8.15,44.78,1.83,0.78,-6.45,-23.28,-28.66,-8.95,-2.86,-3.54,53.31,-1.43
2016-01-01,46.89,193.59,154.33,136.89,25.28,2.58,141.47,9.07,40.24,3.36,1.04,6.02,11.79,25.01,5.53,2.21,41.78,0.0,11.2
2015-01-01,55.47,222.14,176.82,160.44,24.02,2.25,162.22,8.26,44.18,4.06,1.11,12.44,31.17,43.74,10.72,4.53,55.27,0.0,20.85
