,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,25.5,238.84,256.67,203.52,243.25,2.85,128.07,4.32,84.49,2.55,0.78,10.87,14.77,63.33,13.85,5.26,59.16,362.22,4.66
2016-01-01,24.32,262.81,292.6,252.31,384.41,3.26,111.96,5.8,62.93,2.75,0.81,14.07,18.4,88.23,17.24,7.14,49.56,0.0,12.13
2015-01-01,36.47,172.7,164.6,137.06,32.43,3.08,118.5,6.21,58.77,2.43,0.92,13.42,22.68,79.8,14.18,5.68,52.81,0.0,23.03
2014-01-01,49.15,141.61,123.42,100.39,12.03,3.34,109.28,6.09,59.93,2.36,0.95,12.76,29.5,65.97,12.22,5.51,16.04,0.0,11.63
