,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,57.99,97.17,69.04,45.98,-6.24,23.60,15.46,8.63,42.29,1.01,0.68,-8.52,-43.60,-19.54,-14.17,-2.20,0.99,49.11,0.43
2016,49.77,111.89,84.47,50.76,1.19,30.90,11.81,9.06,40.28,1.46,0.92,1.12,0.42,0.41,0.23,0.03,15.59,64.77,6.16
2015,50.10,116.02,101.55,60.35,2.97,22.30,16.36,8.49,42.99,1.42,0.99,3.30,5.22,4.11,2.47,0.53,39.36,16.78,12.92
2014,56.35,100.77,84.00,37.56,2.93,21.04,17.34,8.77,41.61,1.20,0.91,3.55,6.10,4.90,2.76,0.56,38.50,0.01,11.40
