,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,39.22,319.06,195.95,152.08,465.80,9.70,37.62,4.83,75.56,7.64,1.26,29.77,48.02,116.66,23.49,10.63,80.88,138.20,-4.95
2016,37.14,441.70,220.07,177.34,316.18,9.64,37.86,4.47,81.65,9.47,1.25,30.00,57.42,121.50,24.01,10.93,92.40,182.03,24.07
