,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,82.85,1139.57,118.12,116.12,3.75,,,,,4.07,0.14,4.87,20.48,107.21,24.13,8.29,0.61,55.14,0.00
2016,85.49,931.39,116.03,114.13,3.16,,,,,3.75,0.14,4.42,18.60,88.28,19.95,6.36,2.15,62.65,1.13
2015,85.04,830.06,113.98,112.53,3.02,,,,,3.89,0.15,4.74,21.80,84.57,19.53,6.02,3.93,,9.10
2014,84.69,931.80,121.41,119.54,3.22,,,,,4.27,0.15,5.16,21.68,88.34,19.75,6.23,5.23,,12.19
2013,84.45,880.10,118.05,116.01,3.15,,,,,4.23,0.16,5.45,22.67,86.12,19.34,5.91,2.64,,4.10
2012,84.50,765.95,110.59,108.66,2.57,,,,,3.49,0.13,5.36,20.61,58.71,18.75,5.11,10.48,,38.16
2011,87.21,551.19,112.53,110.71,2.24,,,,,1.95,0.12,4.84,17.42,47.54,14.60,3.35,14.32,,36.18
