,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,62.04,5308.58,128.68,6.43,3113.04,4.43,82.39,0.18,2027.77,18.48,0.15,2.85,6.85,12.69,18.85,1.2,0.0,104.21,0.0
2016-01-01,56.71,5025.55,127.11,5.84,425.89,2.47,147.77,0.16,2281.25,12.04,0.1,0.81,1.39,3.19,5.99,0.24,22.62,133.64,19.94
2015-01-01,53.96,5698.42,137.55,12.44,3645.17,9.41,38.78,0.57,640.35,44.39,0.38,6.04,14.06,25.97,15.67,2.4,10.46,119.93,4.94
2014-01-01,61.9,4806.26,130.83,7.71,13398.84,24.4,14.95,0.55,663.63,44.92,0.43,6.26,15.2,25.65,14.45,2.46,0.0,105.36,0.0
2013-01-01,55.98,4299.21,139.34,3.2,5292.08,50.47,7.23,0.34,1073.52,31.68,0.35,7.48,17.6,27.54,21.09,2.69,19.86,157.45,17.86
2012-01-01,60.0,409.09,172.01,1.68,859.44,102.77,3.55,0.26,1403.84,2.26,0.27,4.74,11.75,19.76,16.36,1.75,5.98,24.26,3.75
2011-01-01,61.57,347.38,157.28,4.1,218.72,61.15,5.96,0.12,3041.66,0.95,0.13,0.99,2.64,5.09,8.08,0.38,10.68,30.56,8.88
2010-01-01,63.49,583.99,142.98,6.76,846.12,24.78,14.72,0.1,3650.0,1.93,0.12,4.37,11.29,13.8,32.87,1.66,0.0,13.34,0.0
2009-01-01,60.31,1374.92,157.38,7.13,613.9,25.49,14.31,0.12,3041.66,4.47,0.13,3.98,9.2,12.94,27.32,1.31,0.0,20.81,0.0
2008-01-01,54.08,236.09,140.1,3.95,684.19,55.51,6.57,0.28,1303.57,1.25,0.24,6.03,12.31,13.45,21.89,1.76,9.28,19.8,9.08
2007-01-01,47.2,229.95,150.07,2.07,75.22,71.4,5.11,0.41,890.24,1.93,0.44,10.14,19.86,31.13,22.39,3.11,19.37,0.0,8.47
2006-01-01,52.15,614.87,164.68,3.01,0.0,50.64,7.2,0.56,651.78,6.49,0.5,12.13,22.34,34.0,19.85,3.42,0.0,15.73,0.0
2005-01-01,35.79,739.31,240.79,10.27,0.0,47.31,7.71,0.64,570.31,7.37,0.64,15.75,24.55,34.62,23.21,3.64,26.67,44.27,3.44
2004-01-01,35.89,639.15,228.93,29.55,0.0,43.8,8.33,1.07,341.12,7.55,0.76,20.06,30.26,39.91,22.41,4.42,0.0,49.09,0.0
2003-01-01,30.55,371.3,229.74,67.05,0.0,18.48,19.75,1.03,354.36,3.12,0.58,6.72,9.24,13.99,10.74,1.24,25.32,162.71,6.16
2002-01-01,23.36,400.13,287.48,47.53,11466.67,9.05,40.33,0.88,414.77,3.24,0.62,5.48,7.48,10.62,9.39,0.99,50.43,205.55,9.85
2001-01-01,30.88,440.76,230.36,44.61,6798.64,7.36,49.59,0.79,462.02,3.6,0.56,3.04,4.58,4.21,5.58,0.57,58.63,7.59,20.67
2000-01-01,38.06,494.65,202.15,19.91,5278.13,10.1,36.13,0.6,608.33,4.08,0.51,6.43,10.57,9.54,12.61,1.35,5.05,-26.95,-3.56
1999-01-01,42.4,477.42,187.49,13.8,0.0,16.57,22.02,0.5,730.0,4.08,0.5,12.0,22.62,29.71,23.81,2.99,5.41,-29.61,0.7
1998-01-01,51.56,389.93,149.67,14.93,20058.08,30.63,11.91,0.66,553.03,4.33,0.54,6.59,15.35,18.08,11.72,1.78,22.68,-55.72,23.59
