,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,22.54,1665.64,447.1,396.02,72.97,3.25,112.3,4.66,78.32,11.52,0.6,5.78,7.27,11.69,9.48,1.02,1.37,9.84,-2.72
2016-01-01,20.3,1422.63,492.86,436.01,73.61,3.25,112.3,4.57,79.86,9.49,0.58,4.09,4.97,6.91,6.92,0.64,10.02,31.1,-1.43
2015-01-01,17.24,1304.7,627.12,550.68,256.94,3.09,118.12,3.86,94.55,7.87,0.52,3.57,4.21,6.61,6.85,0.55,10.17,40.08,-4.68
2014-01-01,13.92,1336.79,803.28,701.73,5099.64,3.38,107.98,4.55,80.21,8.14,0.57,6.31,7.4,9.67,11.13,0.94,-15.69,63.96,-3.01
2013-01-01,15.52,1190.85,711.72,636.45,406.59,3.56,102.52,5.61,65.06,7.73,0.58,4.05,4.76,6.89,6.94,0.54,6.34,136.7,-1.6
2012-01-01,12.48,1118.82,752.12,665.36,0.0,3.79,96.3,6.91,52.82,8.0,0.63,0.67,0.76,1.54,1.04,0.08,65.34,205.39,6.82
2011-01-01,13.27,1070.92,704.95,626.09,114069.0,3.77,96.81,7.3,50.0,8.68,0.7,2.36,2.72,3.1,3.71,0.31,53.36,164.73,-0.32
2010-01-01,13.0,1400.26,680.28,612.23,232832.0,3.7,98.64,7.63,47.83,10.2,0.63,5.51,6.35,8.01,8.72,0.8,65.14,226.35,1.98
2009-01-01,13.52,1410.11,647.07,585.18,33091.4,3.44,106.1,6.68,54.64,9.33,0.57,4.42,5.01,6.11,6.6,0.55,90.25,311.21,10.99
2008-01-01,9.36,1113.62,997.92,829.25,444996.0,3.3,110.6,5.98,61.03,10.42,0.85,2.94,3.38,7.99,4.08,0.36,140.2,235.7,8.82
2007-01-01,15.56,1330.43,509.48,436.65,2770442.85,3.22,113.35,6.95,52.51,11.04,0.7,10.89,13.28,9.6,14.77,1.62,29.71,196.76,2.38
2006-01-01,20.72,1244.81,355.63,304.14,457.48,2.44,149.59,4.19,87.11,6.26,0.4,4.64,5.51,3.25,10.75,0.65,54.08,197.15,9.37
2005-01-01,10.25,1112.66,632.74,535.49,686.34,3.77,96.81,4.08,89.46,5.04,0.41,2.84,3.11,2.95,6.94,0.36,135.85,219.77,8.8
2004-01-01,7.12,1011.91,952.26,803.11,843.92,3.8,96.05,5.29,68.99,5.48,0.5,3.17,3.41,7.62,6.99,0.42,396.92,185.34,14.59
2003-01-01,7.01,1242.3,963.26,876.77,2887.85,3.84,95.05,6.39,57.12,6.3,0.47,13.0,14.09,13.64,26.48,1.87,202.7,177.0,8.23
2002-01-01,8.52,1382.43,833.05,699.34,570.88,4.33,84.29,6.31,57.84,7.4,0.49,13.12,14.21,19.42,25.43,1.97,109.18,185.8,4.98
2001-01-01,6.94,1385.21,974.0,888.31,860.34,3.42,106.72,4.88,74.79,6.87,0.46,14.67,16.14,15.38,30.73,2.35,323.96,214.88,16.05
2000-01-01,11.65,1069.14,533.65,464.34,572.47,4.28,85.28,6.4,57.03,6.82,0.56,26.67,30.51,29.34,40.53,4.73,66.87,183.34,7.55
1999-01-01,13.18,772.26,645.25,475.99,583.39,8.38,43.56,4.35,83.91,12.89,1.58,43.51,51.73,75.05,27.6,7.78,223.6,181.23,30.43
1998-01-01,20.42,581.96,414.55,305.53,220.24,7.21,50.62,4.59,79.52,12.53,1.71,43.95,54.76,62.7,25.54,7.08,145.94,109.92,31.53
