,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,42.14,193.42,208.48,106.92,6.81,6.35,57.48,1.65,221.21,1.46,0.55,2.07,3.04,4.71,3.24,0.40,14.47,91.69,0.30
2016,41.24,191.55,189.27,85.33,16.82,7.23,50.48,1.66,219.87,1.54,0.61,5.03,7.89,12.58,7.72,1.04,38.47,80.42,7.24
2015,38.68,183.68,226.93,95.39,16.20,5.70,64.03,1.60,228.12,1.49,0.62,6.43,10.45,14.40,9.69,1.26,82.53,67.78,14.24
2014,45.69,170.39,169.10,56.15,6.87,5.55,65.76,1.41,258.86,1.31,0.56,3.57,5.72,7.78,5.50,0.68,11.47,57.87,1.09
2013,46.94,160.94,189.84,65.08,6.87,5.14,71.01,1.15,317.39,1.16,0.51,3.46,5.63,7.55,5.75,0.65,29.14,69.48,7.36
2012,47.21,144.87,149.00,56.71,7.00,5.18,70.46,1.30,280.76,1.26,0.55,3.51,5.56,9.54,5.31,0.64,9.49,40.76,2.83
