,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017-01-01,94.5,9.32,29.64,21.34,-2.58,2.3,158.69,13.02,28.03,0.45,0.34,-22.71,-385.56,-47.02,-67.69,-4.7,-14.56,85.41,-9.65
2016-01-01,93.73,77.23,50.65,28.59,-6.79,3.06,119.28,9.22,39.58,0.47,0.36,-38.32,-156.46,-119.97,-107.76,-12.01,2.6,-5.22,0.55
2015-01-01,63.41,96.6,78.94,47.45,-17.15,6.49,56.24,15.22,23.98,1.05,0.54,-40.36,-102.08,-80.61,-74.42,-8.47,-82.9,11.7,-18.86
2014-01-01,59.16,104.53,96.91,88.31,-7.01,3.74,97.59,4.85,75.25,0.42,0.25,-8.28,-18.96,-27.33,-32.89,-2.5,7.16,17.04,6.72
2013-01-01,53.62,101.32,97.52,62.48,-4.14,3.2,114.06,6.9,52.89,0.52,0.36,-3.2,-6.69,-10.76,-8.94,-0.95,18.62,11.36,3.9
2012-01-01,50.36,107.51,115.13,92.03,74.76,2.77,131.76,7.81,46.73,0.68,0.43,3.98,7.37,10.98,9.1,1.2,17.54,20.57,4.41
2011-01-01,41.25,148.23,221.76,184.45,11.67,3.3,110.6,7.27,50.2,1.17,0.6,5.63,9.13,13.9,8.63,1.08,57.05,-17.09,12.01
