,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,2.54,35971.77,3783.42,3748.99,,4.88,74.79,0.53,688.67,127.56,0.29,2.13,2.20,6.57,7.44,0.54,139.72,,3.77
2016,3.92,60425.30,2540.69,2507.52,,3.73,97.85,0.64,570.31,220.08,0.25,-3.76,-3.90,-7.72,-15.27,-0.86,,,
2015,3.23,146640.14,3085.37,3050.17,,4.67,78.15,0.48,760.41,428.00,0.26,0.46,0.47,1.65,1.77,0.11,3.26,,0.11
2014,3.57,178418.46,2772.95,2766.19,,6.56,55.64,0.82,445.12,227.10,0.37,0.09,0.10,0.83,0.23,0.02,,,
