,負債佔資產比率(%),長期資金佔固定資產比率(%),流動比率(%),速動比率(%),利息保障倍數(%),應收款項週轉率(次),應收款項收現日數,存貨週轉率(次),平均售貨日數,固定資產週轉率(次),總資產週轉率(次),資產報酬率(%),股東權益報酬率(%),營業利益佔實收資本比率(%),純益率(%),每股盈餘(元),現金流量比率(%),現金流量允當比率(%),現金再投資比率(%)
2017,93.97,,,,,,,,,,,0.44,7.28,13.76,31.55,1.17,,,
2016,94.05,,,,,,,,,,,0.43,7.27,13.69,33.20,1.16,,,
2015,94.11,,,,,,,,,,,0.43,7.72,14.09,35.13,1.22,,,
2014,94.85,,,,,,,,,,,0.34,6.70,13.33,29.34,1.13,,,
2013,95.04,,,,,,,,,,,0.28,5.78,11.62,24.62,1.00,,,
2012,94.97,,,,,,,,,,,0.26,5.52,,21.23,1.07,,,
2011,95.58,,,,,,,,,,,0.11,2.54,,8.89,0.04,,,
